model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-31m,ema_lr1e-3,0,age_bin,0.32513,0.30489,,,,True
EleutherAI/pythia-31m,ema_lr5e-3,0,age_bin,0.33619,0.32479,,,,True
EleutherAI/pythia-31m,ema_lr1e-2,0,age_bin,0.32378,0.32343,,,,True
EleutherAI/pythia-31m,ema_lr5e-2,0,age_bin,0.33902,0.26502,,,,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,0,age_bin,0.35795,0.35561,,,,True
EleutherAI/pythia-31m,ema_d0.99,0,age_bin,0.30898,0.30892,,,,True
EleutherAI/pythia-31m,ema_d0.9999,0,age_bin,0.35067,0.349,,,,True
EleutherAI/pythia-31m,mlp_h16,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,mlp_h32,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,mlp_h64,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,mlp_h128,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,attention,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,shuffled,0,age_bin,0.35237,0.35248,,,,True
EleutherAI/pythia-31m,mm,0,age_bin,0.46346,0.40596,,,,True
EleutherAI/pythia-31m,ridge_0.01,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,ridge_0.1,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-31m,ridge_1.0,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-31m,ridge_10.0,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-31m,ridge_100.0,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-31m,ema_lr1e-3,0,gender,0.47645,0.47634,0.46494,,,True
EleutherAI/pythia-31m,ema_lr5e-3,0,gender,0.49509,0.49494,0.51307,,,True
EleutherAI/pythia-31m,ema_lr1e-2,0,gender,0.48892,0.48869,0.4915,,,True
EleutherAI/pythia-31m,ema_lr5e-2,0,gender,0.50513,0.50402,0.51836,,,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,0,gender,0.47222,0.47173,0.46683,,,True
EleutherAI/pythia-31m,ema_d0.99,0,gender,0.50076,0.50048,0.50297,,,True
EleutherAI/pythia-31m,ema_d0.9999,0,gender,0.49868,0.49852,0.50238,,,True
EleutherAI/pythia-31m,mlp_h16,0,gender,0.52421,0.41386,,,,True
EleutherAI/pythia-31m,mlp_h32,0,gender,0.53015,0.41985,,,,True
EleutherAI/pythia-31m,mlp_h64,0,gender,0.59087,0.58567,,,,True
EleutherAI/pythia-31m,mlp_h128,0,gender,0.53201,0.42567,,,,True
EleutherAI/pythia-31m,attention,0,gender,0.5,0.32916,,,,True
EleutherAI/pythia-31m,shuffled,0,gender,0.48837,0.48833,,,,True
EleutherAI/pythia-31m,mm,0,gender,0.54925,0.5474,,,,True
EleutherAI/pythia-31m,ridge_0.01,0,gender,0.5218,0.39214,,,,True
EleutherAI/pythia-31m,ridge_0.1,0,gender,0.51608,0.37787,,,,False
EleutherAI/pythia-31m,ridge_1.0,0,gender,0.49993,0.33254,,,,False
EleutherAI/pythia-31m,ridge_10.0,0,gender,0.5,0.32916,,,,False
EleutherAI/pythia-31m,ridge_100.0,0,gender,0.5,0.32916,,,,False
EleutherAI/pythia-31m,ema_lr1e-3,0,star_sign,0.16421,0.02351,,0.14159,0.18682,True
EleutherAI/pythia-31m,ema_lr5e-3,0,star_sign,0.2527,0.03362,,0.22714,0.27827,True
EleutherAI/pythia-31m,ema_lr1e-2,0,star_sign,0.50442,0.05588,,0.47099,0.53392,True
EleutherAI/pythia-31m,ema_lr5e-2,0,star_sign,0.99803,0.33301,,0.99508,1.0,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,0,star_sign,0.47099,0.05336,,0.43953,0.50246,True
EleutherAI/pythia-31m,ema_d0.99,0,star_sign,0.48476,0.05442,,0.45329,0.51426,True
EleutherAI/pythia-31m,ema_d0.9999,0,star_sign,0.50639,0.05603,,0.47687,0.53786,True
EleutherAI/pythia-31m,mlp_h16,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-31m,mlp_h32,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-31m,mlp_h64,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-31m,mlp_h128,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-31m,attention,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-31m,shuffled,0,star_sign,0.51819,0.05689,,,,True
EleutherAI/pythia-31m,mm,0,star_sign,0.99803,0.49951,,,,True
EleutherAI/pythia-31m,ridge_0.01,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-31m,ridge_0.1,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-31m,ridge_1.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-31m,ridge_10.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-31m,ridge_100.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-31m,ema_lr1e-3,4,age_bin,0.36637,0.35774,,,,True
EleutherAI/pythia-31m,ema_lr5e-3,4,age_bin,0.32134,0.31626,,,,True
EleutherAI/pythia-31m,ema_lr1e-2,4,age_bin,0.32536,0.31117,,,,True
EleutherAI/pythia-31m,ema_lr5e-2,4,age_bin,0.33705,0.32581,,,,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,4,age_bin,0.3438,0.33347,,,,True
EleutherAI/pythia-31m,ema_d0.99,4,age_bin,0.33225,0.32868,,,,True
EleutherAI/pythia-31m,ema_d0.9999,4,age_bin,0.32139,0.31712,,,,True
EleutherAI/pythia-31m,mlp_h16,4,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-31m,mlp_h32,4,age_bin,0.33333,0.21647,,,,True
