model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Llama-3.1-8B,8.0,4096,0,age_bin,4096,1.0,-0.035984
Llama-3.1-8B,8.0,4096,0,age_bin,32,1.0,-0.046653
Llama-3.1-8B,8.0,4096,0,age_bin,64,1.0,-0.04526
Llama-3.1-8B,8.0,4096,0,age_bin,128,1.0,-0.044123
Llama-3.1-8B,8.0,4096,0,age_bin,256,1.0,-0.043123
Llama-3.1-8B,8.0,4096,0,age_bin,512,1.0,-0.042173
Llama-3.1-8B,8.0,4096,0,gender,4096,1.0,0.011614
Llama-3.1-8B,8.0,4096,0,gender,32,1.0,0.002484
Llama-3.1-8B,8.0,4096,0,gender,64,1.0,0.003437
Llama-3.1-8B,8.0,4096,0,gender,128,1.0,0.004689
Llama-3.1-8B,8.0,4096,0,gender,256,1.0,0.005374
Llama-3.1-8B,8.0,4096,0,gender,512,1.0,0.005984
Llama-3.1-8B,8.0,4096,12,age_bin,4096,1.0,0.156807
Llama-3.1-8B,8.0,4096,12,age_bin,32,1.0,-0.008901
Llama-3.1-8B,8.0,4096,12,age_bin,64,1.0,0.008837
Llama-3.1-8B,8.0,4096,12,age_bin,128,1.0,0.025548
Llama-3.1-8B,8.0,4096,12,age_bin,256,1.0,0.043147
Llama-3.1-8B,8.0,4096,12,age_bin,512,1.0,0.059034
Llama-3.1-8B,8.0,4096,12,gender,4096,1.0,0.192139
Llama-3.1-8B,8.0,4096,12,gender,32,1.0,0.02568
Llama-3.1-8B,8.0,4096,12,gender,64,1.0,0.035601
Llama-3.1-8B,8.0,4096,12,gender,128,1.0,0.052775
Llama-3.1-8B,8.0,4096,12,gender,256,1.0,0.082587
Llama-3.1-8B,8.0,4096,12,gender,512,1.0,0.107539
Llama-3.1-8B,8.0,4096,16,age_bin,4096,1.0,0.188746
Llama-3.1-8B,8.0,4096,16,age_bin,32,1.0,0.003181
Llama-3.1-8B,8.0,4096,16,age_bin,64,1.0,0.021116
Llama-3.1-8B,8.0,4096,16,age_bin,128,1.0,0.041508
Llama-3.1-8B,8.0,4096,16,age_bin,256,1.0,0.062461
Llama-3.1-8B,8.0,4096,16,age_bin,512,1.0,0.076871
Llama-3.1-8B,8.0,4096,16,gender,4096,1.0,0.221608
Llama-3.1-8B,8.0,4096,16,gender,32,1.0,0.031671
Llama-3.1-8B,8.0,4096,16,gender,64,1.0,0.04819
Llama-3.1-8B,8.0,4096,16,gender,128,1.0,0.076788
Llama-3.1-8B,8.0,4096,16,gender,256,1.0,0.107998
Llama-3.1-8B,8.0,4096,16,gender,512,1.0,0.123295
Llama-3.1-8B,8.0,4096,20,age_bin,4096,1.0,0.21367
Llama-3.1-8B,8.0,4096,20,age_bin,32,1.0,0.009929
Llama-3.1-8B,8.0,4096,20,age_bin,64,1.0,0.034878
Llama-3.1-8B,8.0,4096,20,age_bin,128,1.0,0.054685
Llama-3.1-8B,8.0,4096,20,age_bin,256,1.0,0.07435
Llama-3.1-8B,8.0,4096,20,age_bin,512,1.0,0.087458
Llama-3.1-8B,8.0,4096,20,gender,4096,1.0,0.245214
Llama-3.1-8B,8.0,4096,20,gender,32,1.0,0.038496
Llama-3.1-8B,8.0,4096,20,gender,64,1.0,0.059729
Llama-3.1-8B,8.0,4096,20,gender,128,1.0,0.087255
Llama-3.1-8B,8.0,4096,20,gender,256,1.0,0.119616
Llama-3.1-8B,8.0,4096,20,gender,512,1.0,0.134461
Llama-3.1-8B,8.0,4096,24,age_bin,4096,1.0,0.211215
Llama-3.1-8B,8.0,4096,24,age_bin,32,1.0,0.01237
Llama-3.1-8B,8.0,4096,24,age_bin,64,1.0,0.039263
Llama-3.1-8B,8.0,4096,24,age_bin,128,1.0,0.05888
Llama-3.1-8B,8.0,4096,24,age_bin,256,1.0,0.075545
Llama-3.1-8B,8.0,4096,24,age_bin,512,1.0,0.085132
Llama-3.1-8B,8.0,4096,24,gender,4096,1.0,0.238271
Llama-3.1-8B,8.0,4096,24,gender,32,1.0,0.046821
Llama-3.1-8B,8.0,4096,24,gender,64,1.0,0.068257
Llama-3.1-8B,8.0,4096,24,gender,128,1.0,0.090147
Llama-3.1-8B,8.0,4096,24,gender,256,1.0,0.113442
Llama-3.1-8B,8.0,4096,24,gender,512,1.0,0.126809
Llama-3.1-8B,8.0,4096,28,age_bin,4096,1.0,0.221076
Llama-3.1-8B,8.0,4096,28,age_bin,32,1.0,0.017635
Llama-3.1-8B,8.0,4096,28,age_bin,64,1.0,0.048621
