batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.70622,0.32842,2171
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.58578,0.33303,2171
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.6796,0.32151,2171
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.65227,0.32381,2171
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.52261,0.35468,2171
0,0,age_bin,ema_d0.99,0.01,0.0001,1.61756,0.32474,2171
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.54443,0.33118,2171
0,0,age_bin,mlp_h16,0.001,0.0,1.09999,0.35283,2171
0,0,age_bin,mlp_h32,0.001,0.0,1.15565,0.2386,2171
0,0,age_bin,mlp_h64,0.001,0.0,1.05901,0.42653,2171
0,0,age_bin,mlp_h128,0.001,0.0,1.08954,0.39337,2171
0,0,age_bin,attention,0.0001,1e-05,1.09962,0.24219,2171
0,0,age_bin,shuffled,0.01,0.0001,1.48687,0.33533,2171
0,0,gender,ema_lr1e-3,0.001,0.0001,1.07261,0.47904,2171
0,0,gender,ema_lr5e-3,0.005,0.0001,1.09854,0.48687,2171
0,0,gender,ema_lr1e-2,0.01,0.0001,1.08034,0.50806,2171
0,0,gender,ema_lr5e-2,0.05,0.0001,1.04522,0.50069,2171
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.05193,0.48964,2171
0,0,gender,ema_d0.99,0.01,0.0001,1.13447,0.48503,2171
0,0,gender,ema_d0.9999,0.01,0.0001,1.00961,0.49793,2171
0,0,gender,mlp_h16,0.001,0.0,0.71591,0.46384,2171
0,0,gender,mlp_h32,0.001,0.0,0.77007,0.38738,2171
0,0,gender,mlp_h64,0.001,0.0,0.74302,0.43022,2171
0,0,gender,mlp_h128,0.001,0.0,0.67885,0.57854,2171
0,0,gender,attention,0.0001,1e-05,0.69271,0.53906,2171
0,0,gender,shuffled,0.01,0.0001,1.08308,0.49608,2171
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.36044,0.18655,2171
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.32889,0.12068,2171
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.27484,0.11561,2171
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.26512,0.12621,2171
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.29223,0.06357,2171
0,0,star_sign,ema_d0.99,0.01,0.0001,3.34802,0.07969,2171
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.26738,0.09351,2171
0,0,star_sign,mlp_h16,0.001,0.0,2.40271,0.09212,2171
0,0,star_sign,mlp_h32,0.001,0.0,2.40984,0.17089,2171
0,0,star_sign,mlp_h64,0.001,0.0,2.44537,0.07554,2171
0,0,star_sign,mlp_h128,0.001,0.0,2.75452,0.0,2171
0,0,star_sign,attention,0.0001,1e-05,2.48841,0.0,2171
0,0,star_sign,shuffled,0.01,0.0001,3.36306,0.10871,2171
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.51014,0.36435,2171
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.53492,0.34178,2171
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.3841,0.36066,2171
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.53015,0.31875,2171
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.51703,0.35375,2171
0,4,age_bin,ema_d0.99,0.01,0.0001,1.42757,0.33533,2171
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.83254,0.27453,2171
0,4,age_bin,mlp_h16,0.001,0.0,1.11368,0.33072,2171
0,4,age_bin,mlp_h32,0.001,0.0,1.16606,0.2059,2171
0,4,age_bin,mlp_h64,0.001,0.0,1.11571,0.36711,2171
0,4,age_bin,mlp_h128,0.001,0.0,1.08825,0.40903,2171
0,4,age_bin,attention,0.0001,1e-05,7.80157,0.52344,2171
0,4,age_bin,shuffled,0.01,0.0001,1.69931,0.31644,2171
0,4,gender,ema_lr1e-3,0.001,0.0001,0.90323,0.5053,2171
0,4,gender,ema_lr5e-3,0.005,0.0001,1.23349,0.47536,2171
0,4,gender,ema_lr1e-2,0.01,0.0001,0.92048,0.50438,2171
0,4,gender,ema_lr5e-2,0.05,0.0001,0.92722,0.52142,2171
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.30384,0.54675,2171
0,4,gender,ema_d0.99,0.01,0.0001,1.10083,0.51681,2171
0,4,gender,ema_d0.9999,0.01,0.0001,1.15794,0.4514,2171
0,4,gender,mlp_h16,0.001,0.0,0.71614,0.48227,2171
0,4,gender,mlp_h32,0.001,0.0,0.70129,0.5205,2171
0,4,gender,mlp_h64,0.001,0.0,0.74095,0.40995,2171
0,4,gender,mlp_h128,0.001,0.0,0.68918,0.57669,2171
0,4,gender,attention,0.0001,1e-05,3.70838,0.42969,2171
0,4,gender,shuffled,0.01,0.0001,1.64212,0.56702,2171
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.25666,0.06633,2171
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.35735,0.07001,2171
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.2668,0.08337,2171
