model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-0.5B,ema_lr1e-3,0,age_bin,0.33977,0.32849,,,,True
Qwen/Qwen2.5-0.5B,ema_lr5e-3,0,age_bin,0.36153,0.34299,,,,True
Qwen/Qwen2.5-0.5B,ema_lr1e-2,0,age_bin,0.36817,0.35414,,,,True
Qwen/Qwen2.5-0.5B,ema_lr5e-2,0,age_bin,0.35761,0.35591,,,,True
Qwen/Qwen2.5-0.5B,ema_lr1e-2_wd1e-3,0,age_bin,0.34936,0.34677,,,,True
Qwen/Qwen2.5-0.5B,ema_d0.99,0,age_bin,0.38896,0.38321,,,,True
Qwen/Qwen2.5-0.5B,ema_d0.9999,0,age_bin,0.3482,0.3435,,,,True
Qwen/Qwen2.5-0.5B,mlp_h16,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-0.5B,mlp_h32,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-0.5B,mlp_h64,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-0.5B,mlp_h128,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-0.5B,attention,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-0.5B,shuffled,0,age_bin,0.36311,0.35602,,,,True
Qwen/Qwen2.5-0.5B,mm,0,age_bin,0.40652,0.39343,,,,True
Qwen/Qwen2.5-0.5B,ridge_0.01,0,age_bin,0.33635,0.22685,,,,True
Qwen/Qwen2.5-0.5B,ridge_0.1,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-0.5B,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-0.5B,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-0.5B,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-0.5B,ema_lr1e-3,0,gender,0.49652,0.49282,0.49071,,,True
Qwen/Qwen2.5-0.5B,ema_lr5e-3,0,gender,0.50157,0.50157,0.50274,,,True
Qwen/Qwen2.5-0.5B,ema_lr1e-2,0,gender,0.4998,0.49956,0.49687,,,True
Qwen/Qwen2.5-0.5B,ema_lr5e-2,0,gender,0.52146,0.5206,0.51584,,,True
Qwen/Qwen2.5-0.5B,ema_lr1e-2_wd1e-3,0,gender,0.52187,0.52185,0.5185,,,True
Qwen/Qwen2.5-0.5B,ema_d0.99,0,gender,0.52653,0.52649,0.51534,,,True
Qwen/Qwen2.5-0.5B,ema_d0.9999,0,gender,0.51374,0.51372,0.51588,,,True
Qwen/Qwen2.5-0.5B,mlp_h16,0,gender,0.56702,0.56466,,,,True
Qwen/Qwen2.5-0.5B,mlp_h32,0,gender,0.56626,0.5659,,,,True
Qwen/Qwen2.5-0.5B,mlp_h64,0,gender,0.57585,0.56724,,,,True
Qwen/Qwen2.5-0.5B,mlp_h128,0,gender,0.58316,0.57675,,,,True
Qwen/Qwen2.5-0.5B,attention,0,gender,0.51451,0.41966,,,,True
Qwen/Qwen2.5-0.5B,shuffled,0,gender,0.49518,0.49517,,,,True
Qwen/Qwen2.5-0.5B,mm,0,gender,0.56357,0.56145,,,,True
Qwen/Qwen2.5-0.5B,ridge_0.01,0,gender,0.56729,0.543,,,,True
Qwen/Qwen2.5-0.5B,ridge_0.1,0,gender,0.57262,0.54335,,,,False
Qwen/Qwen2.5-0.5B,ridge_1.0,0,gender,0.53097,0.45214,,,,False
Qwen/Qwen2.5-0.5B,ridge_10.0,0,gender,0.49913,0.34286,,,,False
Qwen/Qwen2.5-0.5B,ridge_100.0,0,gender,0.5,0.34325,,,,False
Qwen/Qwen2.5-0.5B,ema_lr1e-3,0,star_sign,0.08696,0.01333,,0.07154,0.10326,True
Qwen/Qwen2.5-0.5B,ema_lr5e-3,0,star_sign,0.13406,0.0197,,0.11322,0.15489,True
Qwen/Qwen2.5-0.5B,ema_lr1e-2,0,star_sign,0.2029,0.02811,,0.17844,0.22736,True
Qwen/Qwen2.5-0.5B,ema_lr5e-2,0,star_sign,0.91576,0.08691,,0.89855,0.93207,True
Qwen/Qwen2.5-0.5B,ema_lr1e-2_wd1e-3,0,star_sign,0.21377,0.02935,,0.18929,0.23734,True
Qwen/Qwen2.5-0.5B,ema_d0.99,0,star_sign,0.17844,0.02524,,0.1567,0.20018,True
Qwen/Qwen2.5-0.5B,ema_d0.9999,0,star_sign,0.2029,0.02811,,0.17935,0.22554,True
Qwen/Qwen2.5-0.5B,mlp_h16,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-0.5B,mlp_h32,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-0.5B,mlp_h64,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-0.5B,mlp_h128,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-0.5B,attention,0,star_sign,1.0,1.0,,,,True
