batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.64752,0.31479,2103
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.642,0.32287,2103
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.59095,0.31669,2103
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.60806,0.36091,2103
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.65165,0.34807,2103
0,0,age_bin,ema_d0.99,0.01,0.0001,1.59182,0.32668,2103
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.65268,0.35711,2103
0,0,age_bin,mlp_h16,0.001,0.0,1.1165,0.31194,2103
0,0,age_bin,mlp_h32,0.001,0.0,1.07075,0.41655,2103
0,0,age_bin,mlp_h64,0.001,0.0,1.09013,0.38802,2103
0,0,age_bin,mlp_h128,0.001,0.0,1.05489,0.47171,2103
0,0,age_bin,attention,0.0001,1e-05,1.09864,0.35156,2103
0,0,age_bin,shuffled,0.01,0.0001,1.54002,0.33238,2103
0,0,gender,ema_lr1e-3,0.001,0.0001,1.1213,0.49929,2103
0,0,gender,ema_lr5e-3,0.005,0.0001,1.00637,0.50357,2103
0,0,gender,ema_lr1e-2,0.01,0.0001,1.09443,0.49643,2103
0,0,gender,ema_lr5e-2,0.05,0.0001,1.03701,0.51117,2103
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.05335,0.50357,2103
0,0,gender,ema_d0.99,0.01,0.0001,1.04796,0.50262,2103
0,0,gender,ema_d0.9999,0.01,0.0001,1.05515,0.50309,2103
0,0,gender,mlp_h16,0.001,0.0,0.69967,0.54541,2103
0,0,gender,mlp_h32,0.001,0.0,0.70819,0.50832,2103
0,0,gender,mlp_h64,0.001,0.0,0.71576,0.48027,2103
0,0,gender,mlp_h128,0.001,0.0,0.70241,0.49406,2103
0,0,gender,attention,0.0001,1e-05,0.69329,0.52344,2103
0,0,gender,shuffled,0.01,0.0001,1.17209,0.49453,2103
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.32924,0.08845,2103
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.23819,0.05659,2103
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.29948,0.07038,2103
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.2959,0.06134,2103
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.24847,0.10842,2103
0,0,star_sign,ema_d0.99,0.01,0.0001,3.41832,0.10033,2103
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.3123,0.08654,2103
0,0,star_sign,mlp_h16,0.001,0.0,2.64136,0.00143,2103
0,0,star_sign,mlp_h32,0.001,0.0,2.51593,0.0271,2103
