model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-3B,ema_lr1e-3,0,age_bin,0.31844,0.30944,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,age_bin,0.32741,0.32308,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,age_bin,0.36273,0.35653,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,age_bin,0.38577,0.37027,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.34368,0.34126,,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,age_bin,0.34988,0.34611,,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,age_bin,0.35469,0.35196,,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,age_bin,0.33484,0.22374,,,,True
Qwen/Qwen2.5-3B,attention,0,age_bin,0.33272,0.22034,,,,True
Qwen/Qwen2.5-3B,shuffled,0,age_bin,0.31989,0.32021,,,,True
Qwen/Qwen2.5-3B,mm,0,age_bin,0.41413,0.39856,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,age_bin,0.33673,0.22879,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,age_bin,0.33635,0.22685,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,gender,0.51056,0.50992,0.52294,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,gender,0.51143,0.51142,0.51186,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,gender,0.50664,0.5066,0.52286,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,gender,0.53986,0.5393,0.52842,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,gender,0.52963,0.52941,0.53371,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,gender,0.51411,0.51352,0.51697,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,gender,0.50495,0.50444,0.49368,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,gender,0.52701,0.42051,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,gender,0.53101,0.46219,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,gender,0.53163,0.43938,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,gender,0.53522,0.45408,,,,True
Qwen/Qwen2.5-3B,attention,0,gender,0.56157,0.55913,,,,True
Qwen/Qwen2.5-3B,shuffled,0,gender,0.52888,0.52889,,,,True
Qwen/Qwen2.5-3B,mm,0,gender,0.56527,0.56527,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,gender,0.55965,0.54514,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,gender,0.55792,0.53593,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,gender,0.55348,0.50293,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,gender,0.50738,0.37198,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,gender,0.5,0.34325,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,star_sign,0.10054,0.01523,,0.08333,0.11866,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,star_sign,0.22192,0.03027,,0.19837,0.24366,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,star_sign,0.44565,0.05138,,0.41936,0.47554,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,star_sign,0.99909,0.49977,,0.99728,1.0,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,star_sign,0.41033,0.04849,,0.38222,0.43843,True
Qwen/Qwen2.5-3B,ema_d0.99,0,star_sign,0.46649,0.05302,,0.43659,0.49547,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,star_sign,0.42572,0.04977,,0.39674,0.45383,True
Qwen/Qwen2.5-3B,mlp_h16,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,attention,0,star_sign,0.99909,0.49977,,,,True
Qwen/Qwen2.5-3B,shuffled,0,star_sign,0.41757,0.04909,,,,True
Qwen/Qwen2.5-3B,mm,0,star_sign,0.95924,0.3264,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,star_sign,1.0,1.0,,,,True
