batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.66188,0.34245,1206
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.64015,0.32836,1206
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.5818,0.3466,1206
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.50529,0.32919,1206
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.70405,0.33582,1206
0,0,age_bin,ema_d0.99,0.01,0.0001,1.60644,0.3267,1206
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.66836,0.3267,1206
0,0,age_bin,mlp_h16,0.001,0.0,1.098,0.36318,1206
0,0,age_bin,mlp_h32,0.001,0.0,1.15101,0.26202,1206
0,0,age_bin,mlp_h64,0.001,0.0,1.09474,0.35489,1206
0,0,age_bin,mlp_h128,0.001,0.0,1.09509,0.37977,1206
0,0,age_bin,attention,0.0001,1e-05,1.09692,0.48438,1206
0,0,age_bin,shuffled,0.01,0.0001,1.70822,0.31924,1206
0,0,gender,ema_lr1e-3,0.001,0.0001,1.05641,0.49254,1206
0,0,gender,ema_lr5e-3,0.005,0.0001,1.04296,0.52322,1206
0,0,gender,ema_lr1e-2,0.01,0.0001,1.10156,0.51575,1206
0,0,gender,ema_lr5e-2,0.05,0.0001,1.03118,0.51907,1206
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.08855,0.50912,1206
0,0,gender,ema_d0.99,0.01,0.0001,1.04606,0.49171,1206
0,0,gender,ema_d0.9999,0.01,0.0001,1.00812,0.49751,1206
0,0,gender,mlp_h16,0.001,0.0,0.71724,0.46683,1206
0,0,gender,mlp_h32,0.001,0.0,0.77968,0.35323,1206
0,0,gender,mlp_h64,0.001,0.0,0.75107,0.4005,1206
0,0,gender,mlp_h128,0.001,0.0,0.69382,0.534,1206
0,0,gender,attention,0.0001,1e-05,0.69389,0.42188,1206
0,0,gender,shuffled,0.01,0.0001,1.12945,0.47181,1206
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.29714,0.05721,1206
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.24339,0.09287,1206
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.34282,0.08375,1206
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.34835,0.07463,1206
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.24737,0.06551,1206
0,0,star_sign,ema_d0.99,0.01,0.0001,3.42578,0.08292,1206
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.28179,0.06716,1206
0,0,star_sign,mlp_h16,0.001,0.0,2.39999,0.06136,1206
0,0,star_sign,mlp_h32,0.001,0.0,2.41867,0.18076,1206
0,0,star_sign,mlp_h64,0.001,0.0,2.42387,0.04395,1206
0,0,star_sign,mlp_h128,0.001,0.0,2.74105,0.0,1206
0,0,star_sign,attention,0.0001,1e-05,2.48255,0.04688,1206
0,0,star_sign,shuffled,0.01,0.0001,3.34759,0.08043,1206
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.60537,0.2927,1206
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.42558,0.32836,1206
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.70368,0.3864,1206
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.49625,0.32504,1206
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.49118,0.31924,1206
0,4,age_bin,ema_d0.99,0.01,0.0001,1.48456,0.3267,1206
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.34168,0.35904,1206
0,4,age_bin,mlp_h16,0.001,0.0,1.09032,0.36401,1206
0,4,age_bin,mlp_h32,0.001,0.0,1.15733,0.25954,1206
0,4,age_bin,mlp_h64,0.001,0.0,1.10132,0.33748,1206
0,4,age_bin,mlp_h128,0.001,0.0,1.08716,0.39552,1206
0,4,age_bin,attention,0.0001,1e-05,1.01048,0.53125,1206
0,4,age_bin,shuffled,0.01,0.0001,1.49651,0.34826,1206
0,4,gender,ema_lr1e-3,0.001,0.0001,1.01788,0.47927,1206
0,4,gender,ema_lr5e-3,0.005,0.0001,0.9482,0.51493,1206
0,4,gender,ema_lr1e-2,0.01,0.0001,0.90044,0.49917,1206
0,4,gender,ema_lr5e-2,0.05,0.0001,0.93343,0.50829,1206
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.31365,0.40962,1206
0,4,gender,ema_d0.99,0.01,0.0001,1.00209,0.51493,1206
0,4,gender,ema_d0.9999,0.01,0.0001,0.9366,0.49834,1206
0,4,gender,mlp_h16,0.001,0.0,0.70826,0.48839,1206
0,4,gender,mlp_h32,0.001,0.0,0.68888,0.55141,1206
0,4,gender,mlp_h64,0.001,0.0,0.74896,0.36982,1206
0,4,gender,mlp_h128,0.001,0.0,0.68735,0.55721,1206
0,4,gender,attention,0.0001,1e-05,57.0203,0.54688,1206
0,4,gender,shuffled,0.01,0.0001,0.98415,0.46766,1206
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.18718,0.14179,1206
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.19739,0.06302,1206
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.1659,0.07297,1206
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.20592,0.08458,1206
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.01305,0.07297,1206
0,4,star_sign,ema_d0.99,0.01,0.0001,3.11704,0.06136,1206
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.2099,0.11774,1206
0,4,star_sign,mlp_h16,0.001,0.0,2.69897,0.0,1206
0,4,star_sign,mlp_h32,0.001,0.0,2.54978,0.04063,1206
0,4,star_sign,mlp_h64,0.001,0.0,2.62539,0.00166,1206
0,4,star_sign,mlp_h128,0.001,0.0,2.33399,0.24129,1206
0,4,star_sign,attention,0.0001,1e-05,163.60089,0.0,1206
0,4,star_sign,shuffled,0.01,0.0001,3.11535,0.08955,1206
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.47518,0.32836,1206
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.60396,0.31095,1206
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.64845,0.31012,1206
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.52864,0.34245,1206
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.63042,0.32255,1206
0,8,age_bin,ema_d0.99,0.01,0.0001,1.67993,0.34909,1206
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.54434,0.32587,1206
0,8,age_bin,mlp_h16,0.001,0.0,1.10318,0.36816,1206
0,8,age_bin,mlp_h32,0.001,0.0,1.06817,0.45937,1206
0,8,age_bin,mlp_h64,0.001,0.0,1.09969,0.39635,1206
0,8,age_bin,mlp_h128,0.001,0.0,1.15328,0.27944,1206
0,8,age_bin,attention,0.0001,1e-05,1.36986,0.25,1206
0,8,age_bin,shuffled,0.01,0.0001,1.53208,0.31095,1206
0,8,gender,ema_lr1e-3,0.001,0.0001,0.95081,0.52819,1206
0,8,gender,ema_lr5e-3,0.005,0.0001,0.99587,0.51575,1206
0,8,gender,ema_lr1e-2,0.01,0.0001,0.95313,0.50083,1206
0,8,gender,ema_lr5e-2,0.05,0.0001,1.02716,0.47512,1206
0,8,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.95574,0.50332,1206
0,8,gender,ema_d0.99,0.01,0.0001,0.9593,0.49585,1206
0,8,gender,ema_d0.9999,0.01,0.0001,0.99732,0.54395,1206
0,8,gender,mlp_h16,0.001,0.0,0.7381,0.39718,1206
0,8,gender,mlp_h32,0.001,0.0,0.69309,0.51658,1206
0,8,gender,mlp_h64,0.001,0.0,0.76962,0.36733,1206
0,8,gender,mlp_h128,0.001,0.0,0.72529,0.4262,1206
0,8,gender,attention,0.0001,1e-05,0.76506,0.46875,1206
0,8,gender,shuffled,0.01,0.0001,0.91055,0.54146,1206
0,8,star_sign,ema_lr1e-3,0.001,0.0001,3.15624,0.07794,1206
0,8,star_sign,ema_lr5e-3,0.005,0.0001,3.14862,0.08541,1206
0,8,star_sign,ema_lr1e-2,0.01,0.0001,3.3099,0.10199,1206
0,8,star_sign,ema_lr5e-2,0.05,0.0001,3.21391,0.05638,1206
0,8,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.17435,0.06716,1206
0,8,star_sign,ema_d0.99,0.01,0.0001,3.2146,0.07131,1206
0,8,star_sign,ema_d0.9999,0.01,0.0001,3.34189,0.08706,1206
0,8,star_sign,mlp_h16,0.001,0.0,2.37743,0.09784,1206
0,8,star_sign,mlp_h32,0.001,0.0,2.47896,0.03483,1206
0,8,star_sign,mlp_h64,0.001,0.0,2.32572,0.22554,1206
0,8,star_sign,mlp_h128,0.001,0.0,2.22564,0.44113,1206
0,8,star_sign,attention,0.0001,1e-05,2.61111,0.03125,1206
0,8,star_sign,shuffled,0.01,0.0001,3.27763,0.05721,1206
0,12,age_bin,ema_lr1e-3,0.001,0.0001,1.53551,0.35655,1206
0,12,age_bin,ema_lr5e-3,0.005,0.0001,1.54122,0.31426,1206
0,12,age_bin,ema_lr1e-2,0.01,0.0001,1.59437,0.32255,1206
0,12,age_bin,ema_lr5e-2,0.05,0.0001,1.42421,0.37645,1206
0,12,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.52157,0.35075,1206
0,12,age_bin,ema_d0.99,0.01,0.0001,1.72801,0.3068,1206
0,12,age_bin,ema_d0.9999,0.01,0.0001,1.55419,0.32338,1206
0,12,age_bin,mlp_h16,0.001,0.0,1.14059,0.29187,1206
0,12,age_bin,mlp_h32,0.001,0.0,1.14249,0.28109,1206
0,12,age_bin,mlp_h64,0.001,0.0,1.14582,0.27363,1206
0,12,age_bin,mlp_h128,0.001,0.0,1.1174,0.30265,1206
0,12,age_bin,attention,0.0001,1e-05,1.52539,0.23438,1206
