model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,0,age_bin,0.32711,0.31661,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,0,age_bin,0.32591,0.32077,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,0,age_bin,0.34153,0.33564,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,0,age_bin,0.33734,0.33403,,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.33624,0.33099,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,0,age_bin,0.35768,0.3503,,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,0,age_bin,0.36286,0.35578,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h16,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,0,age_bin,0.33574,0.22658,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,0,age_bin,0.33333,0.22061,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,0,age_bin,0.33786,0.23013,,,,True
Qwen/Qwen3-1.7B-Base,attention,0,age_bin,0.33272,0.22034,,,,True
Qwen/Qwen3-1.7B-Base,shuffled,0,age_bin,0.32878,0.32103,,,,True
Qwen/Qwen3-1.7B-Base,mm,0,age_bin,0.40791,0.39009,,,,True
Qwen/Qwen3-1.7B-Base,ridge_0.01,0,age_bin,0.33833,0.23118,,,,False
Qwen/Qwen3-1.7B-Base,ridge_0.1,0,age_bin,0.33635,0.22685,,,,True
Qwen/Qwen3-1.7B-Base,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen3-1.7B-Base,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen3-1.7B-Base,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
Qwen/Qwen3-1.7B-Base,ema_lr1e-3,0,gender,0.50251,0.50179,0.50041,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-3,0,gender,0.50809,0.50786,0.49597,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2,0,gender,0.48692,0.48683,0.48207,,,True
Qwen/Qwen3-1.7B-Base,ema_lr5e-2,0,gender,0.53095,0.53046,0.54187,,,True
Qwen/Qwen3-1.7B-Base,ema_lr1e-2_wd1e-3,0,gender,0.53478,0.5343,0.53007,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.99,0,gender,0.54192,0.54188,0.54172,,,True
Qwen/Qwen3-1.7B-Base,ema_d0.9999,0,gender,0.48234,0.48227,0.48481,,,True
Qwen/Qwen3-1.7B-Base,mlp_h16,0,gender,0.52932,0.43015,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h32,0,gender,0.52846,0.4296,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h64,0,gender,0.53245,0.45023,,,,True
Qwen/Qwen3-1.7B-Base,mlp_h128,0,gender,0.55463,0.52455,,,,True
