model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-1b-pt,ema_lr1e-3,0,age_bin,0.3298,0.32269,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,age_bin,0.35723,0.3449,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,age_bin,0.34213,0.33367,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,age_bin,0.36304,0.36034,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,age_bin,0.32586,0.31773,,,,True
google/gemma-3-1b-pt,ema_d0.99,0,age_bin,0.32778,0.3204,,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,age_bin,0.35945,0.35167,,,,True
google/gemma-3-1b-pt,mlp_h16,0,age_bin,0.33333,0.22061,,,,True
google/gemma-3-1b-pt,mlp_h32,0,age_bin,0.33333,0.22061,,,,True
google/gemma-3-1b-pt,mlp_h64,0,age_bin,0.33333,0.22061,,,,True
google/gemma-3-1b-pt,mlp_h128,0,age_bin,0.33333,0.22074,,,,True
google/gemma-3-1b-pt,attention,0,age_bin,0.34924,0.28625,,,,True
google/gemma-3-1b-pt,shuffled,0,age_bin,0.35609,0.34892,,,,True
google/gemma-3-1b-pt,mm,0,age_bin,0.40099,0.38803,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,age_bin,0.33484,0.22374,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,age_bin,0.33484,0.22374,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,gender,0.50549,0.5052,0.5135,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,gender,0.47334,0.47187,0.46527,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,gender,0.53177,0.53146,0.52407,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,gender,0.48899,0.48877,0.4929,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,gender,0.54019,0.54013,0.54362,,,True
google/gemma-3-1b-pt,ema_d0.99,0,gender,0.52311,0.52309,0.53165,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,gender,0.49922,0.4992,0.50636,,,True
google/gemma-3-1b-pt,mlp_h16,0,gender,0.55352,0.52212,,,,True
google/gemma-3-1b-pt,mlp_h32,0,gender,0.56736,0.55778,,,,True
google/gemma-3-1b-pt,mlp_h64,0,gender,0.5473,0.54503,,,,True
google/gemma-3-1b-pt,mlp_h128,0,gender,0.55794,0.55741,,,,True
google/gemma-3-1b-pt,attention,0,gender,0.53766,0.53339,,,,True
google/gemma-3-1b-pt,shuffled,0,gender,0.4974,0.49739,,,,True
google/gemma-3-1b-pt,mm,0,gender,0.57067,0.56875,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,gender,0.58433,0.56839,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,gender,0.5793,0.55699,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,gender,0.55221,0.49842,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,gender,0.50705,0.36581,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,gender,0.5,0.34325,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,star_sign,0.09783,0.01485,,0.08152,0.11594,True
google/gemma-3-1b-pt,ema_lr5e-3,0,star_sign,0.1567,0.02258,,0.13496,0.18025,True
google/gemma-3-1b-pt,ema_lr1e-2,0,star_sign,0.18116,0.02556,,0.15851,0.2038,True
google/gemma-3-1b-pt,ema_lr5e-2,0,star_sign,0.91757,0.07975,,0.90127,0.93299,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,star_sign,0.20743,0.02863,,0.18388,0.23191,True
google/gemma-3-1b-pt,ema_d0.99,0,star_sign,0.21014,0.02894,,0.18838,0.2337,True
google/gemma-3-1b-pt,ema_d0.9999,0,star_sign,0.22011,0.03007,,0.19654,0.24275,True
google/gemma-3-1b-pt,mlp_h16,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h32,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h64,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h128,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,attention,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,shuffled,0,star_sign,0.20743,0.02863,,,,True
google/gemma-3-1b-pt,mm,0,star_sign,0.99819,0.49955,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,age_bin,0.32493,0.30888,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,4,age_bin,0.32042,0.31624,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,4,age_bin,0.33993,0.33262,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,4,age_bin,0.35699,0.35535,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,age_bin,0.3489,0.34476,,,,True
google/gemma-3-1b-pt,ema_d0.99,4,age_bin,0.34142,0.33521,,,,True
google/gemma-3-1b-pt,ema_d0.9999,4,age_bin,0.36076,0.34756,,,,True
google/gemma-3-1b-pt,mlp_h16,4,age_bin,0.33333,0.22061,,,,True
google/gemma-3-1b-pt,mlp_h32,4,age_bin,0.33432,0.22284,,,,True
google/gemma-3-1b-pt,mlp_h64,4,age_bin,0.33484,0.22374,,,,True
google/gemma-3-1b-pt,mlp_h128,4,age_bin,0.33432,0.22324,,,,True
google/gemma-3-1b-pt,attention,4,age_bin,0.33333,0.22061,,,,True
google/gemma-3-1b-pt,shuffled,4,age_bin,0.33689,0.32546,,,,True
google/gemma-3-1b-pt,mm,4,age_bin,0.33333,0.11119,,,,True
google/gemma-3-1b-pt,ridge_0.01,4,age_bin,0.34248,0.24326,,,,True
google/gemma-3-1b-pt,ridge_0.1,4,age_bin,0.33301,0.22356,,,,False
google/gemma-3-1b-pt,ridge_1.0,4,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ridge_10.0,4,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ridge_100.0,4,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,gender,0.52946,0.52936,0.5268,,,True
google/gemma-3-1b-pt,ema_lr5e-3,4,gender,0.52714,0.52626,0.54064,,,True
google/gemma-3-1b-pt,ema_lr1e-2,4,gender,0.51926,0.51811,0.52918,,,True
google/gemma-3-1b-pt,ema_lr5e-2,4,gender,0.52372,0.52336,0.53756,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,gender,0.48733,0.48534,0.46999,,,True
google/gemma-3-1b-pt,ema_d0.99,4,gender,0.51778,0.51626,0.51763,,,True
google/gemma-3-1b-pt,ema_d0.9999,4,gender,0.51601,0.51535,0.52983,,,True
google/gemma-3-1b-pt,mlp_h16,4,gender,0.57813,0.57107,,,,True
google/gemma-3-1b-pt,mlp_h32,4,gender,0.58782,0.58423,,,,True
google/gemma-3-1b-pt,mlp_h64,4,gender,0.59188,0.5918,,,,True
google/gemma-3-1b-pt,mlp_h128,4,gender,0.56952,0.56954,,,,True
google/gemma-3-1b-pt,attention,4,gender,0.51511,0.51317,,,,True
google/gemma-3-1b-pt,shuffled,4,gender,0.48898,0.4888,,,,True
google/gemma-3-1b-pt,mm,4,gender,0.5,0.34325,,,,True
google/gemma-3-1b-pt,ridge_0.01,4,gender,0.60117,0.60069,,,,False
google/gemma-3-1b-pt,ridge_0.1,4,gender,0.59751,0.59619,,,,True
google/gemma-3-1b-pt,ridge_1.0,4,gender,0.58316,0.57521,,,,False
google/gemma-3-1b-pt,ridge_10.0,4,gender,0.53051,0.4565,,,,False
google/gemma-3-1b-pt,ridge_100.0,4,gender,0.5,0.34325,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,star_sign,0.09149,0.01397,,0.07699,0.1087,True
google/gemma-3-1b-pt,ema_lr5e-3,4,star_sign,0.09601,0.0146,,0.0779,0.11234,True
google/gemma-3-1b-pt,ema_lr1e-2,4,star_sign,0.13768,0.02017,,0.11773,0.1567,True
google/gemma-3-1b-pt,ema_lr5e-2,4,star_sign,0.7654,0.07226,,0.74004,0.78895,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,star_sign,0.20018,0.0278,,0.17482,0.22285,True
google/gemma-3-1b-pt,ema_d0.99,4,star_sign,0.16395,0.02348,,0.14309,0.18478,True
google/gemma-3-1b-pt,ema_d0.9999,4,star_sign,0.14946,0.02167,,0.12862,0.17029,True
google/gemma-3-1b-pt,mlp_h16,4,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h32,4,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h64,4,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h128,4,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,attention,4,star_sign,0.98913,0.19891,,,,True
google/gemma-3-1b-pt,shuffled,4,star_sign,0.1721,0.02447,,,,True
google/gemma-3-1b-pt,mm,4,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.01,4,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.1,4,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_1.0,4,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_10.0,4,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_100.0,4,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,8,age_bin,0.34461,0.32065,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,8,age_bin,0.31915,0.30882,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,8,age_bin,0.35605,0.34266,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,8,age_bin,0.36705,0.36651,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,8,age_bin,0.35205,0.34488,,,,True
google/gemma-3-1b-pt,ema_d0.99,8,age_bin,0.37443,0.36776,,,,True
google/gemma-3-1b-pt,ema_d0.9999,8,age_bin,0.35587,0.34384,,,,True
google/gemma-3-1b-pt,mlp_h16,8,age_bin,0.33484,0.22439,,,,True
google/gemma-3-1b-pt,mlp_h32,8,age_bin,0.34186,0.23859,,,,True
google/gemma-3-1b-pt,mlp_h64,8,age_bin,0.33734,0.22958,,,,True
google/gemma-3-1b-pt,mlp_h128,8,age_bin,0.35568,0.26717,,,,True
google/gemma-3-1b-pt,attention,8,age_bin,0.33333,0.11119,,,,True
google/gemma-3-1b-pt,shuffled,8,age_bin,0.33296,0.31885,,,,True
google/gemma-3-1b-pt,mm,8,age_bin,0.33333,0.11119,,,,True
google/gemma-3-1b-pt,ridge_0.01,8,age_bin,0.36702,0.29961,,,,True
google/gemma-3-1b-pt,ridge_0.1,8,age_bin,0.35937,0.28087,,,,False
google/gemma-3-1b-pt,ridge_1.0,8,age_bin,0.33531,0.22505,,,,False
google/gemma-3-1b-pt,ridge_10.0,8,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ridge_100.0,8,age_bin,0.33333,0.22061,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,8,gender,0.48651,0.4865,0.48033,,,True
google/gemma-3-1b-pt,ema_lr5e-3,8,gender,0.48205,0.48171,0.49115,,,True
google/gemma-3-1b-pt,ema_lr1e-2,8,gender,0.53251,0.53168,0.54111,,,True
google/gemma-3-1b-pt,ema_lr5e-2,8,gender,0.53804,0.53804,0.56335,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,8,gender,0.54241,0.54221,0.53972,,,True
google/gemma-3-1b-pt,ema_d0.99,8,gender,0.54245,0.54164,0.53883,,,True
google/gemma-3-1b-pt,ema_d0.9999,8,gender,0.49303,0.49262,0.50614,,,True
google/gemma-3-1b-pt,mlp_h16,8,gender,0.59519,0.59489,,,,True
google/gemma-3-1b-pt,mlp_h32,8,gender,0.59177,0.59097,,,,True
google/gemma-3-1b-pt,mlp_h64,8,gender,0.58926,0.58657,,,,True
google/gemma-3-1b-pt,mlp_h128,8,gender,0.5914,0.58922,,,,True
google/gemma-3-1b-pt,attention,8,gender,0.5,0.34325,,,,True
google/gemma-3-1b-pt,shuffled,8,gender,0.50771,0.50717,,,,True
google/gemma-3-1b-pt,mm,8,gender,0.5,0.34325,,,,True
google/gemma-3-1b-pt,ridge_0.01,8,gender,0.60357,0.6034,,,,False
google/gemma-3-1b-pt,ridge_0.1,8,gender,0.61128,0.61094,,,,False
google/gemma-3-1b-pt,ridge_1.0,8,gender,0.59635,0.59354,,,,True
google/gemma-3-1b-pt,ridge_10.0,8,gender,0.56659,0.54327,,,,False
google/gemma-3-1b-pt,ridge_100.0,8,gender,0.5,0.34325,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,8,star_sign,0.0625,0.0098,,0.04891,0.07699,True
