batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.59595,0.324,1858
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.65227,0.31163,1858
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.60515,0.29548,1858
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.63805,0.27772,1858
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.57676,0.35145,1858
0,0,age_bin,ema_d0.99,0.01,0.0001,1.63213,0.33154,1858
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.58016,0.33154,1858
0,0,age_bin,mlp_h16,0.001,0.0,1.167,0.23036,1858
0,0,age_bin,mlp_h32,0.001,0.0,1.08214,0.38536,1858
0,0,age_bin,mlp_h64,0.001,0.0,1.10261,0.35307,1858
0,0,age_bin,mlp_h128,0.001,0.0,1.08344,0.39774,1858
0,0,age_bin,attention,0.0001,1e-05,1.26664,0.25,1858
0,0,age_bin,shuffled,0.01,0.0001,1.60656,0.35145,1858
0,0,gender,ema_lr1e-3,0.001,0.0001,1.03827,0.50484,1858
0,0,gender,ema_lr5e-3,0.005,0.0001,1.03417,0.50108,1858
0,0,gender,ema_lr1e-2,0.01,0.0001,1.11816,0.48654,1858
0,0,gender,ema_lr5e-2,0.05,0.0001,1.02284,0.50753,1858
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.04266,0.49193,1858
0,0,gender,ema_d0.99,0.01,0.0001,1.11946,0.49892,1858
0,0,gender,ema_d0.9999,0.01,0.0001,1.12075,0.47955,1858
0,0,gender,mlp_h16,0.001,0.0,0.7066,0.48009,1858
0,0,gender,mlp_h32,0.001,0.0,0.70525,0.49623,1858
0,0,gender,mlp_h64,0.001,0.0,0.69277,0.5409,1858
0,0,gender,mlp_h128,0.001,0.0,0.71802,0.47094,1858
0,0,gender,attention,0.0001,1e-05,0.76053,0.45312,1858
0,0,gender,shuffled,0.01,0.0001,1.05004,0.47955,1858
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.28111,0.0479,1858
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.25956,0.05328,1858
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.24422,0.10334,1858
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.23002,0.06351,1858
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.2802,0.06512,1858
0,0,star_sign,ema_d0.99,0.01,0.0001,3.29645,0.10872,1858
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.30355,0.09257,1858
0,0,star_sign,mlp_h16,0.001,0.0,2.66973,0.00161,1858
0,0,star_sign,mlp_h32,0.001,0.0,2.45331,0.04144,1858
0,0,star_sign,mlp_h64,0.001,0.0,2.44548,0.05974,1858
0,0,star_sign,mlp_h128,0.001,0.0,2.72854,0.00431,1858
0,0,star_sign,attention,0.0001,1e-05,2.45608,0.04688,1858
0,0,star_sign,shuffled,0.01,0.0001,3.28957,0.08988,1858
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.5326,0.35199,1858
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.61877,0.32831,1858
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.66972,0.31701,1858
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.61525,0.30624,1858
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.71866,0.32508,1858
0,4,age_bin,ema_d0.99,0.01,0.0001,1.6006,0.32131,1858
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.67359,0.32939,1858
0,4,age_bin,mlp_h16,0.001,0.0,1.08226,0.41496,1858
0,4,age_bin,mlp_h32,0.001,0.0,1.12097,0.3197,1858
0,4,age_bin,mlp_h64,0.001,0.0,1.04764,0.46717,1858
0,4,age_bin,mlp_h128,0.001,0.0,1.0661,0.44295,1858
0,4,age_bin,attention,0.0001,1e-05,241.88979,0.22656,1858
0,4,age_bin,shuffled,0.01,0.0001,1.59206,0.33262,1858
0,4,gender,ema_lr1e-3,0.001,0.0001,1.11001,0.507,1858
0,4,gender,ema_lr5e-3,0.005,0.0001,1.04216,0.50215,1858
0,4,gender,ema_lr1e-2,0.01,0.0001,1.02586,0.50484,1858
0,4,gender,ema_lr5e-2,0.05,0.0001,1.02822,0.49892,1858
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.98691,0.53498,1858
0,4,gender,ema_d0.99,0.01,0.0001,1.08697,0.49085,1858
0,4,gender,ema_d0.9999,0.01,0.0001,1.08097,0.48009,1858
0,4,gender,mlp_h16,0.001,0.0,0.75814,0.43972,1858
0,4,gender,mlp_h32,0.001,0.0,0.70405,0.49462,1858
0,4,gender,mlp_h64,0.001,0.0,0.69807,0.53875,1858
0,4,gender,mlp_h128,0.001,0.0,0.69939,0.50915,1858
0,4,gender,attention,0.0001,1e-05,18.00557,0.47656,1858
0,4,gender,shuffled,0.01,0.0001,1.04916,0.4774,1858
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.28063,0.09203,1858
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.2481,0.16146,1858
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.34931,0.10441,1858
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.32211,0.06297,1858
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.33163,0.08181,1858
0,4,star_sign,ema_d0.99,0.01,0.0001,3.33839,0.08611,1858
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.31197,0.05759,1858
0,4,star_sign,mlp_h16,0.001,0.0,2.71104,0.0,1858
0,4,star_sign,mlp_h32,0.001,0.0,2.35224,0.16469,1858
0,4,star_sign,mlp_h64,0.001,0.0,2.50324,0.04037,1858
0,4,star_sign,mlp_h128,0.001,0.0,2.63498,0.01238,1858
0,4,star_sign,attention,0.0001,1e-05,42.95154,0.0,1858
0,4,star_sign,shuffled,0.01,0.0001,3.28908,0.09419,1858
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.72458,0.30301,1858
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.71182,0.28256,1858
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.60128,0.32616,1858
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.60034,0.33638,1858
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.631,0.32562,1858
0,8,age_bin,ema_d0.99,0.01,0.0001,1.49554,0.34984,1858
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.63427,0.32078,1858
0,8,age_bin,mlp_h16,0.001,0.0,1.06716,0.46609,1858
0,8,age_bin,mlp_h32,0.001,0.0,1.09818,0.36114,1858
0,8,age_bin,mlp_h64,0.001,0.0,1.03468,0.49139,1858
0,8,age_bin,mlp_h128,0.001,0.0,1.15953,0.23251,1858
0,8,age_bin,attention,0.0001,1e-05,950.80475,0.59375,1858
0,8,age_bin,shuffled,0.01,0.0001,1.60555,0.331,1858
0,8,gender,ema_lr1e-3,0.001,0.0001,1.09529,0.50484,1858
0,8,gender,ema_lr5e-3,0.005,0.0001,1.16973,0.49569,1858
0,8,gender,ema_lr1e-2,0.01,0.0001,1.24572,0.48439,1858
0,8,gender,ema_lr5e-2,0.05,0.0001,1.07982,0.49408,1858
0,8,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.00262,0.4747,1858
0,8,gender,ema_d0.99,0.01,0.0001,1.12107,0.50108,1858
0,8,gender,ema_d0.9999,0.01,0.0001,1.02921,0.48816,1858
0,8,gender,mlp_h16,0.001,0.0,0.73216,0.44887,1858
0,8,gender,mlp_h32,0.001,0.0,0.69022,0.56189,1858
0,8,gender,mlp_h64,0.001,0.0,0.71513,0.48062,1858
0,8,gender,mlp_h128,0.001,0.0,0.69851,0.52476,1858
0,8,gender,attention,0.0001,1e-05,771.33417,0.46875,1858
0,8,gender,shuffled,0.01,0.0001,1.07316,0.51561,1858
0,8,star_sign,ema_lr1e-3,0.001,0.0001,3.30298,0.05759,1858
0,8,star_sign,ema_lr5e-3,0.005,0.0001,3.34591,0.12487,1858
0,8,star_sign,ema_lr1e-2,0.01,0.0001,3.32227,0.06351,1858
0,8,star_sign,ema_lr5e-2,0.05,0.0001,3.34648,0.08235,1858
0,8,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.3422,0.07374,1858
0,8,star_sign,ema_d0.99,0.01,0.0001,3.3338,0.07696,1858
0,8,star_sign,ema_d0.9999,0.01,0.0001,3.38891,0.06512,1858
0,8,star_sign,mlp_h16,0.001,0.0,2.48988,0.00753,1858
0,8,star_sign,mlp_h32,0.001,0.0,2.50647,0.0296,1858
0,8,star_sign,mlp_h64,0.001,0.0,2.38186,0.08665,1858
0,8,star_sign,mlp_h128,0.001,0.0,2.72733,0.0,1858
0,8,star_sign,attention,0.0001,1e-05,1694.56921,0.0,1858
0,8,star_sign,shuffled,0.01,0.0001,3.38465,0.12756,1858
0,12,age_bin,ema_lr1e-3,0.001,0.0001,1.63681,0.32939,1858
0,12,age_bin,ema_lr5e-3,0.005,0.0001,1.73002,0.32454,1858
0,12,age_bin,ema_lr1e-2,0.01,0.0001,1.68961,0.33369,1858
0,12,age_bin,ema_lr5e-2,0.05,0.0001,1.4926,0.36491,1858
0,12,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.62971,0.32723,1858
0,12,age_bin,ema_d0.99,0.01,0.0001,1.65074,0.31485,1858
0,12,age_bin,ema_d0.9999,0.01,0.0001,1.51681,0.35684,1858
0,12,age_bin,mlp_h16,0.001,0.0,1.19593,0.24112,1858
0,12,age_bin,mlp_h32,0.001,0.0,1.15085,0.27879,1858
