model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-14m,ema_lr1e-3,0,age_bin,0.31619,0.304,,,,True
EleutherAI/pythia-14m,ema_lr5e-3,0,age_bin,0.36794,0.3558,,,,True
EleutherAI/pythia-14m,ema_lr1e-2,0,age_bin,0.34321,0.3328,,,,True
EleutherAI/pythia-14m,ema_lr5e-2,0,age_bin,0.32289,0.32137,,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,age_bin,0.34093,0.33143,,,,True
EleutherAI/pythia-14m,ema_d0.99,0,age_bin,0.32506,0.31513,,,,True
EleutherAI/pythia-14m,ema_d0.9999,0,age_bin,0.35304,0.34933,,,,True
EleutherAI/pythia-14m,mlp_h16,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,mlp_h32,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,mlp_h64,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,mlp_h128,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,attention,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,shuffled,0,age_bin,0.29853,0.29478,,,,True
EleutherAI/pythia-14m,mm,0,age_bin,0.39493,0.37602,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,ridge_0.1,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ema_lr1e-3,0,gender,0.50495,0.50444,0.50967,,,True
EleutherAI/pythia-14m,ema_lr5e-3,0,gender,0.52984,0.5292,0.52392,,,True
EleutherAI/pythia-14m,ema_lr1e-2,0,gender,0.4585,0.45784,0.43868,,,True
EleutherAI/pythia-14m,ema_lr5e-2,0,gender,0.52901,0.5289,0.52959,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,gender,0.51828,0.51792,0.5194,,,True
EleutherAI/pythia-14m,ema_d0.99,0,gender,0.49517,0.49452,0.50019,,,True
EleutherAI/pythia-14m,ema_d0.9999,0,gender,0.49324,0.49287,0.48225,,,True
EleutherAI/pythia-14m,mlp_h16,0,gender,0.51843,0.41642,,,,True
EleutherAI/pythia-14m,mlp_h32,0,gender,0.55142,0.49854,,,,True
EleutherAI/pythia-14m,mlp_h64,0,gender,0.52165,0.41482,,,,True
EleutherAI/pythia-14m,mlp_h128,0,gender,0.51134,0.38273,,,,True
EleutherAI/pythia-14m,attention,0,gender,0.47335,0.43188,,,,True
EleutherAI/pythia-14m,shuffled,0,gender,0.47177,0.46998,,,,True
EleutherAI/pythia-14m,mm,0,gender,0.56086,0.56083,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,gender,0.54264,0.48297,,,,True
EleutherAI/pythia-14m,ridge_0.1,0,gender,0.54214,0.4778,,,,False
EleutherAI/pythia-14m,ridge_1.0,0,gender,0.51563,0.39869,,,,False
EleutherAI/pythia-14m,ridge_10.0,0,gender,0.5,0.34325,,,,False
EleutherAI/pythia-14m,ridge_100.0,0,gender,0.5,0.34325,,,,False
EleutherAI/pythia-14m,ema_lr1e-3,0,star_sign,0.09511,0.01447,,0.0788,0.11232,True
EleutherAI/pythia-14m,ema_lr5e-3,0,star_sign,0.14312,0.02087,,0.12409,0.16304,True
EleutherAI/pythia-14m,ema_lr1e-2,0,star_sign,0.19928,0.02769,,0.17572,0.22283,True
EleutherAI/pythia-14m,ema_lr5e-2,0,star_sign,0.85598,0.07687,,0.83514,0.87409,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,star_sign,0.20471,0.02832,,0.18297,0.22826,True
EleutherAI/pythia-14m,ema_d0.99,0,star_sign,0.19656,0.02738,,0.1721,0.22011,True
EleutherAI/pythia-14m,ema_d0.9999,0,star_sign,0.19112,0.02674,,0.16757,0.2147,True
EleutherAI/pythia-14m,mlp_h16,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-14m,mlp_h32,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-14m,mlp_h64,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-14m,mlp_h128,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-14m,attention,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-14m,shuffled,0,star_sign,0.2029,0.02811,,,,True
EleutherAI/pythia-14m,mm,0,star_sign,0.99728,0.49932,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-14m,ridge_0.1,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-14m,ridge_1.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-14m,ridge_10.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-14m,ridge_100.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-14m,ema_lr1e-3,4,age_bin,0.34681,0.34116,,,,True
EleutherAI/pythia-14m,ema_lr5e-3,4,age_bin,0.32,0.29637,,,,True
EleutherAI/pythia-14m,ema_lr1e-2,4,age_bin,0.32737,0.32051,,,,True
EleutherAI/pythia-14m,ema_lr5e-2,4,age_bin,0.34714,0.34636,,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,4,age_bin,0.33844,0.33345,,,,True
EleutherAI/pythia-14m,ema_d0.99,4,age_bin,0.33784,0.32506,,,,True
EleutherAI/pythia-14m,ema_d0.9999,4,age_bin,0.3109,0.3024,,,,True
EleutherAI/pythia-14m,mlp_h16,4,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,mlp_h32,4,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,mlp_h64,4,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,mlp_h128,4,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-14m,attention,4,age_bin,0.33272,0.22034,,,,True
EleutherAI/pythia-14m,shuffled,4,age_bin,0.3139,0.30912,,,,True
EleutherAI/pythia-14m,mm,4,age_bin,0.32937,0.11683,,,,True
EleutherAI/pythia-14m,ridge_0.01,4,age_bin,0.33484,0.22388,,,,True
EleutherAI/pythia-14m,ridge_0.1,4,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ridge_1.0,4,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ridge_10.0,4,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ridge_100.0,4,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-14m,ema_lr1e-3,4,gender,0.52628,0.52536,0.54121,,,True
EleutherAI/pythia-14m,ema_lr5e-3,4,gender,0.47137,0.47133,0.47749,,,True
EleutherAI/pythia-14m,ema_lr1e-2,4,gender,0.47802,0.47773,0.49507,,,True
EleutherAI/pythia-14m,ema_lr5e-2,4,gender,0.53952,0.53889,0.54887,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,4,gender,0.51909,0.5156,0.52748,,,True
EleutherAI/pythia-14m,ema_d0.99,4,gender,0.49523,0.49321,0.49635,,,True
