model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-1b,ema_lr1e-3,0,age_bin,0.34139,0.33088,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,age_bin,0.34145,0.33242,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,age_bin,0.31799,0.31006,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,age_bin,0.39972,0.39461,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,age_bin,0.35282,0.34176,,,,True
EleutherAI/pythia-1b,ema_d0.99,0,age_bin,0.35613,0.35194,,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,age_bin,0.33077,0.32895,,,,True
EleutherAI/pythia-1b,mlp_h16,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-1b,mlp_h32,0,age_bin,0.33484,0.22374,,,,True
EleutherAI/pythia-1b,mlp_h64,0,age_bin,0.33484,0.22374,,,,True
EleutherAI/pythia-1b,mlp_h128,0,age_bin,0.33484,0.22374,,,,True
EleutherAI/pythia-1b,attention,0,age_bin,0.33333,0.22061,,,,True
EleutherAI/pythia-1b,shuffled,0,age_bin,0.33531,0.32511,,,,True
EleutherAI/pythia-1b,mm,0,age_bin,0.39559,0.37842,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,age_bin,0.33484,0.22388,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,age_bin,0.33484,0.22374,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,gender,0.49534,0.49534,0.498,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,gender,0.50858,0.50806,0.5152,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,gender,0.50508,0.50497,0.50615,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,gender,0.52938,0.52904,0.55113,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,gender,0.51168,0.51168,0.51394,,,True
EleutherAI/pythia-1b,ema_d0.99,0,gender,0.51308,0.51305,0.52028,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,gender,0.5177,0.5176,0.51895,,,True
EleutherAI/pythia-1b,mlp_h16,0,gender,0.55798,0.5567,,,,True
EleutherAI/pythia-1b,mlp_h32,0,gender,0.56166,0.55203,,,,True
EleutherAI/pythia-1b,mlp_h64,0,gender,0.54605,0.51848,,,,True
EleutherAI/pythia-1b,mlp_h128,0,gender,0.52409,0.47298,,,,True
EleutherAI/pythia-1b,attention,0,gender,0.54968,0.52193,,,,True
EleutherAI/pythia-1b,shuffled,0,gender,0.52195,0.52192,,,,True
EleutherAI/pythia-1b,mm,0,gender,0.564,0.5633,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,gender,0.57739,0.56231,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,gender,0.57513,0.55422,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,gender,0.54548,0.50202,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,gender,0.5146,0.39548,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,gender,0.5,0.34325,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,star_sign,0.10326,0.0156,,0.08603,0.12231,True
EleutherAI/pythia-1b,ema_lr5e-3,0,star_sign,0.12409,0.0184,,0.10417,0.14314,True
EleutherAI/pythia-1b,ema_lr1e-2,0,star_sign,0.2029,0.02811,,0.18114,0.22554,True
EleutherAI/pythia-1b,ema_lr5e-2,0,star_sign,0.89764,0.07884,,0.87953,0.91486,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,star_sign,0.22826,0.03097,,0.20288,0.25181,True
EleutherAI/pythia-1b,ema_d0.99,0,star_sign,0.21014,0.02894,,0.1875,0.2346,True
EleutherAI/pythia-1b,ema_d0.9999,0,star_sign,0.20652,0.02853,,0.18116,0.23007,True
EleutherAI/pythia-1b,mlp_h16,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h32,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h64,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h128,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,attention,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,shuffled,0,star_sign,0.18297,0.02578,,,,True
EleutherAI/pythia-1b,mm,0,star_sign,0.99366,0.33227,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,age_bin,0.33805,0.32931,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,4,age_bin,0.3612,0.35168,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,4,age_bin,0.31383,0.31212,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,4,age_bin,0.38473,0.38335,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,4,age_bin,0.34799,0.3457,,,,True
EleutherAI/pythia-1b,ema_d0.99,4,age_bin,0.36553,0.35612,,,,True
EleutherAI/pythia-1b,ema_d0.9999,4,age_bin,0.32198,0.31509,,,,True
EleutherAI/pythia-1b,mlp_h16,4,age_bin,0.33333,0.22074,,,,True
EleutherAI/pythia-1b,mlp_h32,4,age_bin,0.33635,0.22707,,,,True
EleutherAI/pythia-1b,mlp_h64,4,age_bin,0.36478,0.28176,,,,True
EleutherAI/pythia-1b,mlp_h128,4,age_bin,0.37373,0.29664,,,,True
EleutherAI/pythia-1b,attention,4,age_bin,0.3386,0.25207,,,,True
EleutherAI/pythia-1b,shuffled,4,age_bin,0.34646,0.33763,,,,True
EleutherAI/pythia-1b,mm,4,age_bin,0.33333,0.11119,,,,True
EleutherAI/pythia-1b,ridge_0.01,4,age_bin,0.37838,0.32412,,,,True
EleutherAI/pythia-1b,ridge_0.1,4,age_bin,0.36442,0.29344,,,,False
EleutherAI/pythia-1b,ridge_1.0,4,age_bin,0.33932,0.23337,,,,False
EleutherAI/pythia-1b,ridge_10.0,4,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-1b,ridge_100.0,4,age_bin,0.33333,0.22061,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,gender,0.52595,0.52531,0.52196,,,True
EleutherAI/pythia-1b,ema_lr5e-3,4,gender,0.49551,0.4955,0.50839,,,True
EleutherAI/pythia-1b,ema_lr1e-2,4,gender,0.52492,0.52437,0.53987,,,True
EleutherAI/pythia-1b,ema_lr5e-2,4,gender,0.5573,0.55364,0.59175,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,4,gender,0.52732,0.52729,0.53479,,,True
EleutherAI/pythia-1b,ema_d0.99,4,gender,0.50532,0.50512,0.50796,,,True
EleutherAI/pythia-1b,ema_d0.9999,4,gender,0.52467,0.52428,0.54784,,,True
EleutherAI/pythia-1b,mlp_h16,4,gender,0.54352,0.50398,,,,True
EleutherAI/pythia-1b,mlp_h32,4,gender,0.52581,0.44228,,,,True
EleutherAI/pythia-1b,mlp_h64,4,gender,0.54776,0.48299,,,,True
EleutherAI/pythia-1b,mlp_h128,4,gender,0.5192,0.40456,,,,True
EleutherAI/pythia-1b,attention,4,gender,0.48254,0.47952,,,,True
EleutherAI/pythia-1b,shuffled,4,gender,0.47694,0.47691,,,,True
EleutherAI/pythia-1b,mm,4,gender,0.5,0.34325,,,,True
EleutherAI/pythia-1b,ridge_0.01,4,gender,0.58529,0.58434,,,,True
EleutherAI/pythia-1b,ridge_0.1,4,gender,0.5815,0.58035,,,,False
EleutherAI/pythia-1b,ridge_1.0,4,gender,0.58435,0.58098,,,,False
EleutherAI/pythia-1b,ridge_10.0,4,gender,0.54877,0.51566,,,,False
EleutherAI/pythia-1b,ridge_100.0,4,gender,0.5,0.34325,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,star_sign,0.10598,0.01597,,0.08693,0.12319,True
EleutherAI/pythia-1b,ema_lr5e-3,4,star_sign,0.13678,0.02005,,0.11594,0.1567,True
EleutherAI/pythia-1b,ema_lr1e-2,4,star_sign,0.20924,0.02884,,0.18297,0.23279,True
EleutherAI/pythia-1b,ema_lr5e-2,4,star_sign,0.71558,0.06952,,0.68931,0.74094,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,4,star_sign,0.23732,0.03197,,0.21377,0.26268,True
