batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.56303,0.34383,2065
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.61175,0.33462,2065
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.64023,0.33075,2065
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.66922,0.34189,2065
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.6534,0.31138,2065
0,0,age_bin,ema_d0.99,0.01,0.0001,1.53849,0.33559,2065
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.69816,0.29879,2065
0,0,age_bin,mlp_h16,0.001,0.0,1.09794,0.35738,2065
0,0,age_bin,mlp_h32,0.001,0.0,1.16158,0.25617,2065
0,0,age_bin,mlp_h64,0.001,0.0,1.05804,0.41065,2065
0,0,age_bin,mlp_h128,0.001,0.0,1.09733,0.37869,2065
0,0,age_bin,attention,0.0001,1e-05,1.09811,0.33594,2065
0,0,age_bin,shuffled,0.01,0.0001,1.57636,0.34383,2065
0,0,gender,ema_lr1e-3,0.001,0.0001,0.98331,0.51429,2065
0,0,gender,ema_lr5e-3,0.005,0.0001,1.14668,0.47651,2065
0,0,gender,ema_lr1e-2,0.01,0.0001,1.04479,0.49298,2065
0,0,gender,ema_lr5e-2,0.05,0.0001,1.11439,0.48571,2065
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.11771,0.48571,2065
0,0,gender,ema_d0.99,0.01,0.0001,1.06876,0.4862,2065
0,0,gender,ema_d0.9999,0.01,0.0001,1.01463,0.53947,2065
0,0,gender,mlp_h16,0.001,0.0,0.71764,0.48136,2065
0,0,gender,mlp_h32,0.001,0.0,0.77262,0.38692,2065
0,0,gender,mlp_h64,0.001,0.0,0.73958,0.42906,2065
0,0,gender,mlp_h128,0.001,0.0,0.69239,0.52155,2065
0,0,gender,attention,0.0001,1e-05,0.69307,0.53906,2065
0,0,gender,shuffled,0.01,0.0001,1.11281,0.4954,2065
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.2873,0.05375,2065
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.30365,0.06392,2065
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.28755,0.06683,2065
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.30766,0.10315,2065
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.31522,0.09782,2065
0,0,star_sign,ema_d0.99,0.01,0.0001,3.34723,0.06973,2065
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.28153,0.0586,2065
