batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.62979,0.3187,1914
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.61445,0.34378,1914
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.63646,0.34013,1914
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.60842,0.32654,1914
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.55554,0.35005,1914
0,0,age_bin,ema_d0.99,0.01,0.0001,1.65343,0.30617,1914
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.63105,0.32811,1914
0,0,age_bin,mlp_h16,0.001,0.0,1.07361,0.49373,1914
0,0,age_bin,mlp_h32,0.001,0.0,1.12487,0.3255,1914
0,0,age_bin,mlp_h64,0.001,0.0,1.13989,0.28109,1914
0,0,age_bin,mlp_h128,0.001,0.0,1.12663,0.30878,1914
0,0,age_bin,attention,0.0001,1e-05,1.09483,0.49219,1914
0,0,age_bin,shuffled,0.01,0.0001,1.58564,0.3396,1914
0,0,gender,ema_lr1e-3,0.001,0.0001,1.12769,0.50522,1914
0,0,gender,ema_lr5e-3,0.005,0.0001,1.03201,0.51829,1914
0,0,gender,ema_lr1e-2,0.01,0.0001,1.08119,0.48851,1914
0,0,gender,ema_lr5e-2,0.05,0.0001,1.02055,0.52038,1914
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.0703,0.51776,1914
0,0,gender,ema_d0.99,0.01,0.0001,1.03132,0.5047,1914
0,0,gender,ema_d0.9999,0.01,0.0001,0.98605,0.52247,1914
0,0,gender,mlp_h16,0.001,0.0,0.7058,0.49216,1914
0,0,gender,mlp_h32,0.001,0.0,0.69522,0.54493,1914
0,0,gender,mlp_h64,0.001,0.0,0.71345,0.47335,1914
0,0,gender,mlp_h128,0.001,0.0,0.74567,0.45037,1914
0,0,gender,attention,0.0001,1e-05,0.69141,0.60156,1914
0,0,gender,shuffled,0.01,0.0001,1.04302,0.50731,1914
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.30508,0.10397,1914
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.23188,0.07158,1914
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.27118,0.12644,1914
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.27316,0.05956,1914
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.27216,0.10084,1914
0,0,star_sign,ema_d0.99,0.01,0.0001,3.32785,0.06635,1914
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.23582,0.06008,1914
0,0,star_sign,mlp_h16,0.001,0.0,2.35256,0.19854,1914
0,0,star_sign,mlp_h32,0.001,0.0,2.41892,0.03135,1914
0,0,star_sign,mlp_h64,0.001,0.0,2.8653,0.0,1914
0,0,star_sign,mlp_h128,0.001,0.0,2.44465,0.08777,1914
0,0,star_sign,attention,0.0001,1e-05,2.49176,0.00781,1914
0,0,star_sign,shuffled,0.01,0.0001,3.30582,0.06479,1914
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.46282,0.3302,1914
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.4842,0.34483,1914
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.65316,0.30512,1914
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.61364,0.30878,1914
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.63855,0.33751,1914
0,4,age_bin,ema_d0.99,0.01,0.0001,1.62041,0.34587,1914
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.63949,0.34796,1914
0,4,age_bin,mlp_h16,0.001,0.0,1.16406,0.23197,1914
