model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-1b,ema_lr1e-3,0,age_bin,0.39616,0.39579,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,age_bin,0.42597,0.41157,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,age_bin,0.42194,0.39118,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,age_bin,0.41477,0.35662,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,age_bin,0.42383,0.39867,,,,True
EleutherAI/pythia-1b,ema_d0.99,0,age_bin,0.42841,0.39631,,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,age_bin,0.42802,0.41051,,,,True
EleutherAI/pythia-1b,mlp_h16,0,age_bin,0.41849,0.34793,,,,True
EleutherAI/pythia-1b,mlp_h32,0,age_bin,0.41962,0.36346,,,,True
EleutherAI/pythia-1b,mlp_h64,0,age_bin,0.42226,0.36468,,,,True
EleutherAI/pythia-1b,mlp_h128,0,age_bin,0.41271,0.34785,,,,True
EleutherAI/pythia-1b,attention,0,age_bin,0.44323,0.40654,,,,True
EleutherAI/pythia-1b,shuffled,0,age_bin,0.32749,0.27901,,,,True
EleutherAI/pythia-1b,mm,0,age_bin,0.47589,0.47013,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,age_bin,0.41554,0.3411,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,age_bin,0.41294,0.33661,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,age_bin,0.40175,0.31812,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,age_bin,0.37089,0.26734,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,age_bin,0.33333,0.17957,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,gender,0.53821,0.53742,0.54578,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,gender,0.59187,0.58765,0.6166,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,gender,0.58823,0.57659,0.62219,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,gender,0.59013,0.56085,0.66441,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,gender,0.58333,0.57136,0.61602,,,True
EleutherAI/pythia-1b,ema_d0.99,0,gender,0.59037,0.57414,0.63063,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,gender,0.58054,0.56913,0.61531,,,True
