batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.59847,0.34774,77940
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.63994,0.31497,77940
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.6288,0.33249,77940
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.59392,0.3301,77940
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.61155,0.34605,77940
0,0,age_bin,ema_d0.99,0.01,0.0001,1.6178,0.32873,77940
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.64433,0.33713,77940
0,0,age_bin,mlp_h16,0.001,0.0,1.08165,0.39774,77940
0,0,age_bin,mlp_h32,0.001,0.0,1.11474,0.35412,77940
0,0,age_bin,mlp_h64,0.001,0.0,1.09239,0.41399,77940
0,0,age_bin,mlp_h128,0.001,0.0,1.10175,0.35399,77940
0,0,age_bin,attention,0.0001,1e-05,1.09838,0.39453,77940
0,0,age_bin,shuffled,0.01,0.0001,1.62105,0.34403,77940
0,0,gender,ema_lr1e-3,0.001,0.0001,1.03527,0.49733,77940
0,0,gender,ema_lr5e-3,0.005,0.0001,1.07304,0.50391,77940
0,0,gender,ema_lr1e-2,0.01,0.0001,1.05838,0.49965,77940
0,0,gender,ema_lr5e-2,0.05,0.0001,1.0843,0.48838,77940
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.0709,0.49701,77940
0,0,gender,ema_d0.99,0.01,0.0001,1.05491,0.50282,77940
0,0,gender,ema_d0.9999,0.01,0.0001,1.05355,0.49942,77940
0,0,gender,mlp_h16,0.001,0.0,0.71211,0.4971,77940
0,0,gender,mlp_h32,0.001,0.0,0.70051,0.49605,77940
0,0,gender,mlp_h64,0.001,0.0,0.70601,0.49768,77940
0,0,gender,mlp_h128,0.001,0.0,0.7186,0.49356,77940
0,0,gender,attention,0.0001,1e-05,0.6935,0.51172,77940
0,0,gender,shuffled,0.01,0.0001,1.04439,0.50652,77940
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.281,0.07946,77940
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.30036,0.07793,77940
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.2842,0.0863,77940
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.30851,0.08109,77940
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.28136,0.08449,77940
0,0,star_sign,ema_d0.99,0.01,0.0001,3.29911,0.0827,77940
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.31007,0.08048,77940
0,0,star_sign,mlp_h16,0.001,0.0,2.52046,0.07419,77940
0,0,star_sign,mlp_h32,0.001,0.0,2.53927,0.08183,77940
0,0,star_sign,mlp_h64,0.001,0.0,2.51504,0.09292,77940
0,0,star_sign,mlp_h128,0.001,0.0,2.50391,0.08424,77940
0,0,star_sign,attention,0.0001,1e-05,2.48514,0.05078,77940
0,0,star_sign,shuffled,0.01,0.0001,3.27137,0.08392,77940
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.61945,0.32912,77940
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.57849,0.33963,77940
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.62168,0.33749,77940
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.61145,0.33531,77940
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.59691,0.33232,77940
0,4,age_bin,ema_d0.99,0.01,0.0001,1.59876,0.33635,77940
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.65582,0.318,77940
0,4,age_bin,mlp_h16,0.001,0.0,1.10605,0.39271,77940
0,4,age_bin,mlp_h32,0.001,0.0,1.11602,0.31909,77940
0,4,age_bin,mlp_h64,0.001,0.0,1.08236,0.41157,77940
0,4,age_bin,mlp_h128,0.001,0.0,1.09783,0.38142,77940
0,4,age_bin,attention,0.0001,1e-05,2.42901,0.23438,77940
0,4,age_bin,shuffled,0.01,0.0001,1.59066,0.33455,77940
0,4,gender,ema_lr1e-3,0.001,0.0001,1.01421,0.50892,77940
0,4,gender,ema_lr5e-3,0.005,0.0001,1.07978,0.49057,77940
0,4,gender,ema_lr1e-2,0.01,0.0001,1.09236,0.48277,77940
0,4,gender,ema_lr5e-2,0.05,0.0001,1.06546,0.49197,77940
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.0378,0.49905,77940
0,4,gender,ema_d0.99,0.01,0.0001,1.04001,0.50189,77940
0,4,gender,ema_d0.9999,0.01,0.0001,1.10281,0.48065,77940
0,4,gender,mlp_h16,0.001,0.0,0.70114,0.51189,77940
0,4,gender,mlp_h32,0.001,0.0,0.69799,0.50748,77940
0,4,gender,mlp_h64,0.001,0.0,0.71827,0.48818,77940
0,4,gender,mlp_h128,0.001,0.0,0.70291,0.50905,77940
0,4,gender,attention,0.0001,1e-05,7.94143,0.49609,77940
0,4,gender,shuffled,0.01,0.0001,1.04704,0.50314,77940
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.31232,0.08072,77940
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.23439,0.08292,77940
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.27672,0.08079,77940
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.24876,0.08382,77940
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.27545,0.08201,77940
0,4,star_sign,ema_d0.99,0.01,0.0001,3.27468,0.0815,77940
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.29211,0.0835,77940
0,4,star_sign,mlp_h16,0.001,0.0,2.53187,0.07184,77940
0,4,star_sign,mlp_h32,0.001,0.0,2.51217,0.08961,77940
0,4,star_sign,mlp_h64,0.001,0.0,2.50148,0.08342,77940
0,4,star_sign,mlp_h128,0.001,0.0,2.52065,0.06676,77940
0,4,star_sign,attention,0.0001,1e-05,2.8294,0.04688,77940
0,4,star_sign,shuffled,0.01,0.0001,3.26921,0.08338,77940
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.61814,0.3321,77940
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.7414,0.31709,77940
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.59442,0.33744,77940
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.63472,0.33702,77940
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.65123,0.337,77940
0,8,age_bin,ema_d0.99,0.01,0.0001,1.61183,0.3316,77940
