model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-410m,ema_lr1e-3,0,age_bin,0.36979,0.36963,,,,True
EleutherAI/pythia-410m,ema_lr5e-3,0,age_bin,0.42583,0.42606,,,,True
EleutherAI/pythia-410m,ema_lr1e-2,0,age_bin,0.41729,0.38826,,,,True
EleutherAI/pythia-410m,ema_lr5e-2,0,age_bin,0.41276,0.3469,,,,True
EleutherAI/pythia-410m,ema_lr1e-2_wd1e-3,0,age_bin,0.39714,0.36791,,,,True
EleutherAI/pythia-410m,ema_d0.99,0,age_bin,0.42245,0.37901,,,,True
EleutherAI/pythia-410m,ema_d0.9999,0,age_bin,0.40455,0.36596,,,,True
EleutherAI/pythia-410m,mlp_h16,0,age_bin,0.40507,0.31926,,,,True
EleutherAI/pythia-410m,mlp_h32,0,age_bin,0.38821,0.29134,,,,True
EleutherAI/pythia-410m,mlp_h64,0,age_bin,0.37502,0.26987,,,,True
EleutherAI/pythia-410m,mlp_h128,0,age_bin,0.3728,0.26645,,,,True
EleutherAI/pythia-410m,attention,0,age_bin,0.44992,0.39412,,,,True
EleutherAI/pythia-410m,shuffled,0,age_bin,0.34423,0.29052,,,,True
EleutherAI/pythia-410m,mm,0,age_bin,0.4898,0.48567,,,,True
EleutherAI/pythia-410m,ridge_0.01,0,age_bin,0.4092,0.33029,,,,True
EleutherAI/pythia-410m,ridge_0.1,0,age_bin,0.40753,0.32761,,,,False
EleutherAI/pythia-410m,ridge_1.0,0,age_bin,0.39618,0.31024,,,,False
EleutherAI/pythia-410m,ridge_10.0,0,age_bin,0.35941,0.24344,,,,False
EleutherAI/pythia-410m,ridge_100.0,0,age_bin,0.33333,0.17952,,,,False
EleutherAI/pythia-410m,ema_lr1e-3,0,gender,0.52676,0.52666,0.53618,,,True
EleutherAI/pythia-410m,ema_lr5e-3,0,gender,0.55926,0.55409,0.58049,,,True
EleutherAI/pythia-410m,ema_lr1e-2,0,gender,0.57414,0.56255,0.60604,,,True
EleutherAI/pythia-410m,ema_lr5e-2,0,gender,0.5853,0.55274,0.6593,,,True
EleutherAI/pythia-410m,ema_lr1e-2_wd1e-3,0,gender,0.57653,0.56405,0.61175,,,True
EleutherAI/pythia-410m,ema_d0.99,0,gender,0.59399,0.57934,0.63323,,,True
EleutherAI/pythia-410m,ema_d0.9999,0,gender,0.59156,0.58165,0.62734,,,True
EleutherAI/pythia-410m,mlp_h16,0,gender,0.58937,0.55258,,,,True
EleutherAI/pythia-410m,mlp_h32,0,gender,0.5771,0.5295,,,,True
EleutherAI/pythia-410m,mlp_h64,0,gender,0.57338,0.523,,,,True
EleutherAI/pythia-410m,mlp_h128,0,gender,0.56615,0.5098,,,,True
EleutherAI/pythia-410m,attention,0,gender,0.61298,0.61294,,,,True
EleutherAI/pythia-410m,shuffled,0,gender,0.51481,0.49952,,,,True
EleutherAI/pythia-410m,mm,0,gender,0.61029,0.60727,,,,True
EleutherAI/pythia-410m,ridge_0.01,0,gender,0.57872,0.53513,,,,True
EleutherAI/pythia-410m,ridge_0.1,0,gender,0.57701,0.53187,,,,False
EleutherAI/pythia-410m,ridge_1.0,0,gender,0.56064,0.50214,,,,False
EleutherAI/pythia-410m,ridge_10.0,0,gender,0.49366,0.34851,,,,False
EleutherAI/pythia-410m,ridge_100.0,0,gender,0.5,0.33382,,,,False
EleutherAI/pythia-410m,ema_lr1e-3,0,star_sign,0.08573,0.08286,,0.07982,0.09133,True
EleutherAI/pythia-410m,ema_lr5e-3,0,star_sign,0.08172,0.07958,,0.07599,0.08757,True
EleutherAI/pythia-410m,ema_lr1e-2,0,star_sign,0.09447,0.09113,,0.0883,0.09969,True
EleutherAI/pythia-410m,ema_lr5e-2,0,star_sign,0.07982,0.05399,,0.07507,0.0841,True
EleutherAI/pythia-410m,ema_lr1e-2_wd1e-3,0,star_sign,0.08279,0.07827,,0.07745,0.08842,True
EleutherAI/pythia-410m,ema_d0.99,0,star_sign,0.07881,0.07438,,0.07367,0.08391,True
EleutherAI/pythia-410m,ema_d0.9999,0,star_sign,0.08546,0.08081,,0.07991,0.09103,True
EleutherAI/pythia-410m,mlp_h16,0,star_sign,0.08456,0.02883,,,,True
EleutherAI/pythia-410m,mlp_h32,0,star_sign,0.08844,0.03686,,,,True
EleutherAI/pythia-410m,mlp_h64,0,star_sign,0.09587,0.04569,,,,True
EleutherAI/pythia-410m,mlp_h128,0,star_sign,0.08667,0.04474,,,,True
EleutherAI/pythia-410m,attention,0,star_sign,0.08738,0.02219,,,,True
EleutherAI/pythia-410m,shuffled,0,star_sign,0.08442,0.08056,,,,True
EleutherAI/pythia-410m,mm,0,star_sign,0.06975,0.048,,,,True
EleutherAI/pythia-410m,ridge_0.01,0,star_sign,0.08499,0.02329,,,,True
EleutherAI/pythia-410m,ridge_0.1,0,star_sign,0.08446,0.02195,,,,False
EleutherAI/pythia-410m,ridge_1.0,0,star_sign,0.08314,0.01733,,,,False
EleutherAI/pythia-410m,ridge_10.0,0,star_sign,0.08333,0.01604,,,,False
EleutherAI/pythia-410m,ridge_100.0,0,star_sign,0.08333,0.01604,,,,False
EleutherAI/pythia-410m,ema_lr1e-3,4,age_bin,0.38398,0.37305,,,,True
EleutherAI/pythia-410m,ema_lr5e-3,4,age_bin,0.50846,0.50692,,,,True
EleutherAI/pythia-410m,ema_lr1e-2,4,age_bin,0.52452,0.52808,,,,True
EleutherAI/pythia-410m,ema_lr5e-2,4,age_bin,0.54765,0.55848,,,,True
EleutherAI/pythia-410m,ema_lr1e-2_wd1e-3,4,age_bin,0.53444,0.54133,,,,True
EleutherAI/pythia-410m,ema_d0.99,4,age_bin,0.54302,0.54967,,,,True
EleutherAI/pythia-410m,ema_d0.9999,4,age_bin,0.5455,0.54275,,,,True
EleutherAI/pythia-410m,mlp_h16,4,age_bin,0.56764,0.57503,,,,True
EleutherAI/pythia-410m,mlp_h32,4,age_bin,0.57374,0.58119,,,,True
