batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.59577,0.33259,83583
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.57543,0.33477,83583
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.59495,0.3231,83583
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.63467,0.30537,83583
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.60298,0.33178,83583
0,0,age_bin,ema_d0.99,0.01,0.0001,1.62288,0.33447,83583
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.60222,0.34952,83583
0,0,age_bin,mlp_h16,0.001,0.0,1.12798,0.31605,83583
0,0,age_bin,mlp_h32,0.001,0.0,1.13065,0.27598,83583
0,0,age_bin,mlp_h64,0.001,0.0,1.14263,0.28071,83583
0,0,age_bin,mlp_h128,0.001,0.0,1.13206,0.3416,83583
0,0,age_bin,attention,0.0001,1e-05,1.09919,0.29688,83583
0,0,age_bin,shuffled,0.01,0.0001,1.59554,0.33076,83583
0,0,gender,ema_lr1e-3,0.001,0.0001,1.04983,0.49696,83583
0,0,gender,ema_lr5e-3,0.005,0.0001,1.05439,0.50052,83583
0,0,gender,ema_lr1e-2,0.01,0.0001,1.0253,0.50924,83583
0,0,gender,ema_lr5e-2,0.05,0.0001,1.02286,0.5007,83583
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.04321,0.50357,83583
0,0,gender,ema_d0.99,0.01,0.0001,1.05952,0.49315,83583
0,0,gender,ema_d0.9999,0.01,0.0001,1.0691,0.49959,83583
0,0,gender,mlp_h16,0.001,0.0,0.6978,0.50965,83583
0,0,gender,mlp_h32,0.001,0.0,0.73253,0.50234,83583
0,0,gender,mlp_h64,0.001,0.0,0.70182,0.50517,83583
0,0,gender,mlp_h128,0.001,0.0,0.70602,0.50157,83583
0,0,gender,attention,0.0001,1e-05,0.6933,0.46484,83583
0,0,gender,shuffled,0.01,0.0001,1.05107,0.49881,83583
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.26902,0.08803,83583
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.27137,0.08089,83583
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.28916,0.08395,83583
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.28282,0.08577,83583
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.29688,0.08521,83583
0,0,star_sign,ema_d0.99,0.01,0.0001,3.2951,0.08344,83583
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.28366,0.08201,83583
0,0,star_sign,mlp_h16,0.001,0.0,2.49393,0.08529,83583
0,0,star_sign,mlp_h32,0.001,0.0,2.49463,0.09833,83583
0,0,star_sign,mlp_h64,0.001,0.0,2.5232,0.06369,83583
0,0,star_sign,mlp_h128,0.001,0.0,2.50728,0.09021,83583
0,0,star_sign,attention,0.0001,1e-05,2.48513,0.08594,83583
0,0,star_sign,shuffled,0.01,0.0001,3.28073,0.08499,83583
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.57561,0.32041,83583
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.65609,0.30481,83583
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.58229,0.3392,83583
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.59934,0.34227,83583
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.66166,0.31649,83583
0,4,age_bin,ema_d0.99,0.01,0.0001,1.67765,0.30972,83583
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.65401,0.32145,83583
0,4,age_bin,mlp_h16,0.001,0.0,1.1428,0.34314,83583
0,4,age_bin,mlp_h32,0.001,0.0,1.10248,0.35562,83583
0,4,age_bin,mlp_h64,0.001,0.0,1.0982,0.37451,83583
0,4,age_bin,mlp_h128,0.001,0.0,1.09033,0.39601,83583
0,4,age_bin,attention,0.0001,1e-05,1.10136,0.34766,83583
0,4,age_bin,shuffled,0.01,0.0001,1.69241,0.32639,83583
0,4,gender,ema_lr1e-3,0.001,0.0001,1.1113,0.51114,83583
0,4,gender,ema_lr5e-3,0.005,0.0001,1.01062,0.50508,83583
0,4,gender,ema_lr1e-2,0.01,0.0001,1.07925,0.51616,83583
0,4,gender,ema_lr5e-2,0.05,0.0001,1.10467,0.49037,83583
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.99466,0.51606,83583
0,4,gender,ema_d0.99,0.01,0.0001,1.11343,0.47439,83583
0,4,gender,ema_d0.9999,0.01,0.0001,1.07064,0.47627,83583
0,4,gender,mlp_h16,0.001,0.0,0.70597,0.49816,83583
0,4,gender,mlp_h32,0.001,0.0,0.72622,0.4777,83583
0,4,gender,mlp_h64,0.001,0.0,0.72391,0.503,83583
0,4,gender,mlp_h128,0.001,0.0,0.71691,0.50156,83583
0,4,gender,attention,0.0001,1e-05,0.94606,0.47656,83583
0,4,gender,shuffled,0.01,0.0001,1.03703,0.50056,83583
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.36622,0.07301,83583
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.27392,0.07815,83583
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.29475,0.0871,83583
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.36515,0.075,83583
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.23687,0.08981,83583
0,4,star_sign,ema_d0.99,0.01,0.0001,3.32011,0.08049,83583
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.38739,0.07899,83583
0,4,star_sign,mlp_h16,0.001,0.0,2.56294,0.07119,83583
0,4,star_sign,mlp_h32,0.001,0.0,2.50715,0.0842,83583
0,4,star_sign,mlp_h64,0.001,0.0,2.50151,0.08676,83583
0,4,star_sign,mlp_h128,0.001,0.0,2.5162,0.06765,83583
0,4,star_sign,attention,0.0001,1e-05,9.93938,0.07812,83583
0,4,star_sign,shuffled,0.01,0.0001,3.23789,0.08273,83583
0,6,age_bin,ema_lr1e-3,0.001,0.0001,1.53365,0.34758,83583
0,6,age_bin,ema_lr5e-3,0.005,0.0001,1.59822,0.32325,83583
0,6,age_bin,ema_lr1e-2,0.01,0.0001,1.63538,0.32198,83583
0,6,age_bin,ema_lr5e-2,0.05,0.0001,1.62125,0.33405,83583
0,6,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.57771,0.34633,83583
0,6,age_bin,ema_d0.99,0.01,0.0001,1.60795,0.3272,83583
0,6,age_bin,ema_d0.9999,0.01,0.0001,1.61381,0.31218,83583
0,6,age_bin,mlp_h16,0.001,0.0,1.13168,0.3004,83583
0,6,age_bin,mlp_h32,0.001,0.0,1.09252,0.37222,83583
0,6,age_bin,mlp_h64,0.001,0.0,1.12979,0.29292,83583
0,6,age_bin,mlp_h128,0.001,0.0,1.12158,0.32998,83583
0,6,age_bin,attention,0.0001,1e-05,10.21887,0.36719,83583
0,6,age_bin,shuffled,0.01,0.0001,1.59335,0.33498,83583
0,6,gender,ema_lr1e-3,0.001,0.0001,1.0614,0.50314,83583
0,6,gender,ema_lr5e-3,0.005,0.0001,1.02723,0.52526,83583
