model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,age_bin,0.36277,0.35334,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,age_bin,0.38238,0.37477,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,age_bin,0.37152,0.37129,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,age_bin,0.40608,0.3839,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.4171,0.41322,,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,age_bin,0.39617,0.39318,,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,age_bin,0.37766,0.37393,,,,True
meta-llama/Llama-3.2-3B,mlp_h16,0,age_bin,0.34647,0.24639,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,age_bin,0.34368,0.24176,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,age_bin,0.34802,0.25169,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,age_bin,0.36329,0.28211,,,,True
meta-llama/Llama-3.2-3B,attention,0,age_bin,0.33443,0.22034,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,age_bin,0.36104,0.36044,,,,True
meta-llama/Llama-3.2-3B,mm,0,age_bin,0.44624,0.42975,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,age_bin,0.35028,0.2545,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,0,age_bin,0.34867,0.25064,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,0,age_bin,0.33547,0.22438,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,gender,0.51742,0.51632,0.53612,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,gender,0.51801,0.5117,0.51749,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,gender,0.51356,0.50527,0.52149,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,gender,0.50586,0.47114,0.49869,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,gender,0.50479,0.4973,0.52312,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,gender,0.52563,0.51771,0.51498,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,gender,0.51116,0.49525,0.50546,,,True
meta-llama/Llama-3.2-3B,mlp_h16,0,gender,0.50072,0.29035,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,gender,0.5,0.28874,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,gender,0.5,0.28874,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,gender,0.50072,0.29035,,,,True
meta-llama/Llama-3.2-3B,attention,0,gender,0.5,0.28874,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,gender,0.52315,0.5152,,,,True
meta-llama/Llama-3.2-3B,mm,0,gender,0.54611,0.54329,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,gender,0.51905,0.35611,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,0,gender,0.51697,0.33431,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,0,gender,0.50149,0.29585,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,gender,0.5,0.28874,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,gender,0.5,0.28874,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,0,star_sign,0.09702,0.01474,,0.08085,0.11404,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,0,star_sign,0.25362,0.03372,,0.22721,0.27577,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,0,star_sign,0.49277,0.05502,,0.46213,0.52087,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,0,star_sign,0.50894,0.05621,,0.4817,0.53874,True
meta-llama/Llama-3.2-3B,ema_d0.99,0,star_sign,0.57191,0.06064,,0.54383,0.59915,True
meta-llama/Llama-3.2-3B,ema_d0.9999,0,star_sign,0.47319,0.05353,,0.44426,0.49957,True
meta-llama/Llama-3.2-3B,mlp_h16,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,attention,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,shuffled,0,star_sign,0.50809,0.05615,,,,True
meta-llama/Llama-3.2-3B,mm,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,4,age_bin,0.39073,0.38171,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,4,age_bin,0.43558,0.42173,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,4,age_bin,0.46238,0.44299,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,4,age_bin,0.49361,0.45926,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,4,age_bin,0.50532,0.4894,,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,4,age_bin,0.48893,0.47173,,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,4,age_bin,0.44422,0.42426,,,,True
meta-llama/Llama-3.2-3B,mlp_h16,4,age_bin,0.475,0.40758,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,4,age_bin,0.47589,0.40721,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,4,age_bin,0.47705,0.40814,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,4,age_bin,0.49143,0.44926,,,,True
meta-llama/Llama-3.2-3B,attention,4,age_bin,0.44815,0.39374,,,,True
meta-llama/Llama-3.2-3B,shuffled,4,age_bin,0.32674,0.32409,,,,True
meta-llama/Llama-3.2-3B,mm,4,age_bin,0.33333,0.21802,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,4,age_bin,0.48017,0.41303,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,4,age_bin,0.47745,0.40964,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,4,age_bin,0.47533,0.40951,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,4,age_bin,0.37116,0.29927,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,4,age_bin,0.33333,0.21802,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,4,gender,0.48062,0.47557,0.48409,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,4,gender,0.49062,0.48306,0.48174,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,4,gender,0.51191,0.50115,0.51976,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,4,gender,0.50258,0.47966,0.52597,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,4,gender,0.48314,0.47105,0.48803,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,4,gender,0.50639,0.49723,0.50696,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,4,gender,0.48574,0.48193,0.47787,,,True
meta-llama/Llama-3.2-3B,mlp_h16,4,gender,0.50246,0.31594,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,4,gender,0.50746,0.34711,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,4,gender,0.49812,0.41277,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,4,gender,0.50358,0.29673,,,,True
meta-llama/Llama-3.2-3B,attention,4,gender,0.50166,0.35222,,,,True
meta-llama/Llama-3.2-3B,shuffled,4,gender,0.51286,0.50067,,,,True
meta-llama/Llama-3.2-3B,mm,4,gender,0.5,0.28874,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,4,gender,0.52695,0.48141,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,4,gender,0.52328,0.46458,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,4,gender,0.51,0.40605,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,4,gender,0.5022,0.29743,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,4,gender,0.5,0.28874,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,4,star_sign,0.0783,0.0121,,0.06298,0.09277,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,4,star_sign,0.22383,0.03048,,0.19915,0.24853,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,4,star_sign,0.37021,0.04503,,0.34383,0.39832,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,4,star_sign,0.98553,0.12409,,0.97787,0.99234,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,4,star_sign,0.42553,0.04975,,0.39657,0.45449,True
meta-llama/Llama-3.2-3B,ema_d0.99,4,star_sign,0.48255,0.05425,,0.45532,0.51149,True
meta-llama/Llama-3.2-3B,ema_d0.9999,4,star_sign,0.41617,0.04898,,0.38809,0.4434,True
meta-llama/Llama-3.2-3B,mlp_h16,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,attention,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,shuffled,4,star_sign,0.38638,0.04645,,,,True
meta-llama/Llama-3.2-3B,mm,4,star_sign,0.0,0.0,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,8,age_bin,0.3798,0.36689,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,8,age_bin,0.4585,0.44747,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,8,age_bin,0.48391,0.46499,,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,8,age_bin,0.48932,0.46025,,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,8,age_bin,0.47526,0.45174,,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,8,age_bin,0.45108,0.43141,,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,8,age_bin,0.47275,0.45071,,,,True
meta-llama/Llama-3.2-3B,mlp_h16,8,age_bin,0.47212,0.40204,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,8,age_bin,0.4744,0.40743,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,8,age_bin,0.47369,0.40833,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,8,age_bin,0.47487,0.41054,,,,True
meta-llama/Llama-3.2-3B,attention,8,age_bin,0.33592,0.22801,,,,True
meta-llama/Llama-3.2-3B,shuffled,8,age_bin,0.32682,0.3245,,,,True
meta-llama/Llama-3.2-3B,mm,8,age_bin,0.33333,0.21802,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,8,age_bin,0.47987,0.4179,,,,True
meta-llama/Llama-3.2-3B,ridge_0.1,8,age_bin,0.47713,0.41271,,,,False
meta-llama/Llama-3.2-3B,ridge_1.0,8,age_bin,0.46812,0.4009,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,8,age_bin,0.40401,0.34823,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,8,age_bin,0.33333,0.21802,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,8,gender,0.49348,0.48625,0.48434,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,8,gender,0.49595,0.49163,0.5042,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,8,gender,0.51619,0.50946,0.51129,,,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,8,gender,0.54243,0.50364,0.56894,,,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,8,gender,0.50788,0.49945,0.49405,,,True
meta-llama/Llama-3.2-3B,ema_d0.99,8,gender,0.51824,0.51075,0.52128,,,True
meta-llama/Llama-3.2-3B,ema_d0.9999,8,gender,0.49673,0.4901,0.49347,,,True
meta-llama/Llama-3.2-3B,mlp_h16,8,gender,0.52263,0.36311,,,,True
meta-llama/Llama-3.2-3B,mlp_h32,8,gender,0.52282,0.39252,,,,True
meta-llama/Llama-3.2-3B,mlp_h64,8,gender,0.52427,0.3778,,,,True
meta-llama/Llama-3.2-3B,mlp_h128,8,gender,0.52186,0.35859,,,,True
meta-llama/Llama-3.2-3B,attention,8,gender,0.50164,0.30717,,,,True
meta-llama/Llama-3.2-3B,shuffled,8,gender,0.47734,0.46785,,,,True
meta-llama/Llama-3.2-3B,mm,8,gender,0.5,0.28874,,,,True
meta-llama/Llama-3.2-3B,ridge_0.01,8,gender,0.53504,0.49693,,,,False
meta-llama/Llama-3.2-3B,ridge_0.1,8,gender,0.52982,0.48524,,,,True
meta-llama/Llama-3.2-3B,ridge_1.0,8,gender,0.51521,0.43536,,,,False
meta-llama/Llama-3.2-3B,ridge_10.0,8,gender,0.50517,0.31118,,,,False
meta-llama/Llama-3.2-3B,ridge_100.0,8,gender,0.5,0.28874,,,,False
meta-llama/Llama-3.2-3B,ema_lr1e-3,8,star_sign,0.15404,0.02225,,0.13447,0.17362,True
meta-llama/Llama-3.2-3B,ema_lr5e-3,8,star_sign,0.15064,0.02182,,0.13189,0.17191,True
meta-llama/Llama-3.2-3B,ema_lr1e-2,8,star_sign,0.36766,0.0448,,0.33957,0.39574,True
meta-llama/Llama-3.2-3B,ema_lr5e-2,8,star_sign,0.98468,0.09923,,0.97702,0.99149,True
meta-llama/Llama-3.2-3B,ema_lr1e-2_wd1e-3,8,star_sign,0.31489,0.03991,,0.29021,0.34128,True
