model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-1.5B,ema_lr1e-3,0,age_bin,0.34763,0.34337,,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-3,0,age_bin,0.38158,0.37022,,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2,0,age_bin,0.35762,0.35698,,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-2,0,age_bin,0.39197,0.3699,,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2_wd1e-3,0,age_bin,0.34463,0.3423,,,,True
Qwen/Qwen2.5-1.5B,ema_d0.99,0,age_bin,0.34975,0.34887,,,,True
Qwen/Qwen2.5-1.5B,ema_d0.9999,0,age_bin,0.35247,0.35084,,,,True
Qwen/Qwen2.5-1.5B,mlp_h16,0,age_bin,0.35455,0.26516,,,,True
Qwen/Qwen2.5-1.5B,mlp_h32,0,age_bin,0.35248,0.25862,,,,True
Qwen/Qwen2.5-1.5B,mlp_h64,0,age_bin,0.34918,0.25239,,,,True
Qwen/Qwen2.5-1.5B,mlp_h128,0,age_bin,0.34647,0.24639,,,,True
Qwen/Qwen2.5-1.5B,attention,0,age_bin,0.33791,0.23758,,,,True
Qwen/Qwen2.5-1.5B,shuffled,0,age_bin,0.35423,0.3543,,,,True
Qwen/Qwen2.5-1.5B,mm,0,age_bin,0.43262,0.40774,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.01,0,age_bin,0.35073,0.25748,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.1,0,age_bin,0.3453,0.24571,,,,False
Qwen/Qwen2.5-1.5B,ridge_1.0,0,age_bin,0.33443,0.22034,,,,False
Qwen/Qwen2.5-1.5B,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen2.5-1.5B,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen2.5-1.5B,ema_lr1e-3,0,gender,0.49044,0.48457,0.49169,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-3,0,gender,0.53092,0.52284,0.53398,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2,0,gender,0.5019,0.49711,0.50847,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-2,0,gender,0.51364,0.47891,0.52331,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2_wd1e-3,0,gender,0.49399,0.48466,0.49449,,,True
Qwen/Qwen2.5-1.5B,ema_d0.99,0,gender,0.47271,0.4629,0.46329,,,True
Qwen/Qwen2.5-1.5B,ema_d0.9999,0,gender,0.50903,0.50152,0.51354,,,True
Qwen/Qwen2.5-1.5B,mlp_h16,0,gender,0.50038,0.29151,,,,True
Qwen/Qwen2.5-1.5B,mlp_h32,0,gender,0.49801,0.29565,,,,True
Qwen/Qwen2.5-1.5B,mlp_h64,0,gender,0.49829,0.29064,,,,True
Qwen/Qwen2.5-1.5B,mlp_h128,0,gender,0.50842,0.31985,,,,True
Qwen/Qwen2.5-1.5B,attention,0,gender,0.49873,0.29722,,,,True
Qwen/Qwen2.5-1.5B,shuffled,0,gender,0.51433,0.50665,,,,True
Qwen/Qwen2.5-1.5B,mm,0,gender,0.5281,0.52803,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.01,0,gender,0.50704,0.3204,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.1,0,gender,0.5055,0.31011,,,,False
Qwen/Qwen2.5-1.5B,ridge_1.0,0,gender,0.49862,0.28948,,,,False
Qwen/Qwen2.5-1.5B,ridge_10.0,0,gender,0.5,0.28874,,,,False
