model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-3B,ema_lr1e-3,0,age_bin,0.37348,0.36867,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,age_bin,0.36773,0.36389,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,age_bin,0.38215,0.37761,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,age_bin,0.38618,0.32892,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.39324,0.39383,,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,age_bin,0.41183,0.41157,,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,age_bin,0.36219,0.35965,,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,age_bin,0.3486,0.25203,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,age_bin,0.35513,0.26556,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,age_bin,0.35455,0.26516,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,age_bin,0.34853,0.25348,,,,True
Qwen/Qwen2.5-3B,attention,0,age_bin,0.34528,0.25779,,,,True
Qwen/Qwen2.5-3B,shuffled,0,age_bin,0.32666,0.31822,,,,True
Qwen/Qwen2.5-3B,mm,0,age_bin,0.45177,0.42898,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,age_bin,0.35287,0.26277,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,age_bin,0.34853,0.25338,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,age_bin,0.33495,0.22237,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,gender,0.50439,0.4996,0.5119,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,gender,0.48433,0.47758,0.48927,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,gender,0.47966,0.46835,0.49631,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,gender,0.50154,0.41226,0.53253,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,gender,0.52383,0.51166,0.53116,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,gender,0.519,0.49867,0.52501,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,gender,0.47534,0.45225,0.46239,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,gender,0.50681,0.32837,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,gender,0.52621,0.42189,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,gender,0.53138,0.43654,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,gender,0.55288,0.50199,,,,True
Qwen/Qwen2.5-3B,attention,0,gender,0.49514,0.28933,,,,True
Qwen/Qwen2.5-3B,shuffled,0,gender,0.52463,0.50376,,,,True
Qwen/Qwen2.5-3B,mm,0,gender,0.53229,0.53215,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,gender,0.50753,0.32984,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,gender,0.50346,0.31283,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,gender,0.50038,0.29151,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,gender,0.5,0.28874,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,gender,0.5,0.28874,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,star_sign,0.11574,0.01729,,0.09787,0.13447,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,star_sign,0.50723,0.05609,,0.47828,0.53619,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,star_sign,0.88085,0.07805,,0.86298,0.90043,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,star_sign,0.85957,0.07704,,0.83915,0.87915,True
Qwen/Qwen2.5-3B,ema_d0.99,0,star_sign,0.93872,0.0807,,0.92426,0.95149,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,star_sign,0.86043,0.07708,,0.84168,0.87915,True
Qwen/Qwen2.5-3B,mlp_h16,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,attention,0,star_sign,0.99149,0.16595,,,,True
Qwen/Qwen2.5-3B,shuffled,0,star_sign,0.87064,0.07757,,,,True
Qwen/Qwen2.5-3B,mm,0,star_sign,0.9166,0.23912,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,star_sign,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,star_sign,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,star_sign,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,star_sign,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,4,age_bin,0.3282,0.32266,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,4,age_bin,0.47523,0.45719,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,4,age_bin,0.48209,0.4628,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,4,age_bin,0.47686,0.40987,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,4,age_bin,0.49777,0.47757,,,,True
Qwen/Qwen2.5-3B,ema_d0.99,4,age_bin,0.49193,0.46635,,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,4,age_bin,0.48788,0.46344,,,,True
