model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,age_bin,0.32753,0.32076,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,age_bin,0.31786,0.31179,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,age_bin,0.32345,0.3186,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,age_bin,0.3932,0.38973,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.35475,0.34915,,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,age_bin,0.36693,0.36079,,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,age_bin,0.39134,0.38618,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,age_bin,0.33437,0.2221,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,age_bin,0.33553,0.22264,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,age_bin,0.33877,0.23112,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,age_bin,0.33553,0.22264,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,age_bin,0.33443,0.22034,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,age_bin,0.34238,0.33974,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,age_bin,0.46906,0.43574,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,age_bin,0.34977,0.25278,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,age_bin,0.34537,0.24425,,,,False
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,gender,0.53494,0.52804,0.54401,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,gender,0.53122,0.52833,0.52859,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,gender,0.51022,0.50667,0.51554,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,gender,0.49259,0.47402,0.49557,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,gender,0.50182,0.49292,0.50681,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,gender,0.50877,0.49848,0.50927,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,gender,0.52407,0.51814,0.53988,,,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,gender,0.50688,0.30949,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,gender,0.51234,0.32636,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,gender,0.5047,0.34777,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,gender,0.50234,0.33069,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,gender,0.5,0.28874,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,gender,0.49855,0.49234,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,gender,0.52899,0.52861,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,gender,0.50374,0.3081,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,gender,0.50474,0.30483,,,,False
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,gender,0.5,0.28874,,,,False
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,gender,0.5,0.28874,,,,False
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,gender,0.5,0.28874,,,,False
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,star_sign,0.08851,0.01355,,0.07234,0.10472,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,star_sign,0.13617,0.01998,,0.1166,0.15577,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,star_sign,0.21617,0.02962,,0.19319,0.24,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,star_sign,0.91489,0.07963,,0.89872,0.93106,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,star_sign,0.19574,0.02728,,0.17277,0.21872,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,star_sign,0.21617,0.02962,,0.19319,0.23915,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,star_sign,0.23234,0.03142,,0.20596,0.25619,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,star_sign,0.0,0.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,star_sign,0.2383,0.03207,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,star_sign,1.0,1.0,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,star_sign,1.0,1.0,,,,False
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,star_sign,1.0,1.0,,,,False
