model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-1b-pt,ema_lr1e-3,0,age_bin,0.30134,0.29661,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,age_bin,0.32015,0.31867,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,age_bin,0.37885,0.37071,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,age_bin,0.39441,0.3911,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,age_bin,0.36894,0.36153,,,,True
google/gemma-3-1b-pt,ema_d0.99,0,age_bin,0.35303,0.34604,,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,age_bin,0.34354,0.33716,,,,True
google/gemma-3-1b-pt,mlp_h16,0,age_bin,0.33333,0.21802,,,,True
google/gemma-3-1b-pt,mlp_h32,0,age_bin,0.33443,0.22046,,,,True
google/gemma-3-1b-pt,mlp_h64,0,age_bin,0.33987,0.23334,,,,True
google/gemma-3-1b-pt,mlp_h128,0,age_bin,0.33877,0.23112,,,,True
google/gemma-3-1b-pt,attention,0,age_bin,0.42475,0.3751,,,,True
google/gemma-3-1b-pt,shuffled,0,age_bin,0.31921,0.31589,,,,True
google/gemma-3-1b-pt,mm,0,age_bin,0.48544,0.4399,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,age_bin,0.33605,0.22465,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,age_bin,0.33443,0.22034,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,age_bin,0.33333,0.21802,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,gender,0.49864,0.49576,0.50897,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,gender,0.47351,0.46823,0.46984,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,gender,0.49368,0.49079,0.50942,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,gender,0.49318,0.4782,0.49979,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,gender,0.52042,0.5164,0.52063,,,True
google/gemma-3-1b-pt,ema_d0.99,0,gender,0.52297,0.51671,0.52987,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,gender,0.49916,0.49205,0.50479,,,True
google/gemma-3-1b-pt,mlp_h16,0,gender,0.49967,0.28991,,,,True
google/gemma-3-1b-pt,mlp_h32,0,gender,0.5,0.28874,,,,True
google/gemma-3-1b-pt,mlp_h64,0,gender,0.50143,0.29195,,,,True
google/gemma-3-1b-pt,mlp_h128,0,gender,0.49972,0.29382,,,,True
google/gemma-3-1b-pt,attention,0,gender,0.55186,0.51068,,,,True
google/gemma-3-1b-pt,shuffled,0,gender,0.572,0.56402,,,,True
google/gemma-3-1b-pt,mm,0,gender,0.51045,0.51042,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,gender,0.50397,0.29945,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,gender,0.50182,0.2947,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,gender,0.5,0.28874,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,gender,0.5,0.28874,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,gender,0.5,0.28874,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,star_sign,0.07404,0.01149,,0.05957,0.08936,True
google/gemma-3-1b-pt,ema_lr5e-3,0,star_sign,0.14298,0.02085,,0.12426,0.16426,True
google/gemma-3-1b-pt,ema_lr1e-2,0,star_sign,0.21362,0.02934,,0.19149,0.23915,True
google/gemma-3-1b-pt,ema_lr5e-2,0,star_sign,0.9166,0.07971,,0.90043,0.93277,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,star_sign,0.21872,0.02991,,0.1966,0.2434,True
google/gemma-3-1b-pt,ema_d0.99,0,star_sign,0.22383,0.03048,,0.1983,0.24681,True
google/gemma-3-1b-pt,ema_d0.9999,0,star_sign,0.24681,0.03299,,0.22213,0.27149,True
google/gemma-3-1b-pt,mlp_h16,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h32,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h64,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h128,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,attention,0,star_sign,0.99915,0.49979,,,,True
google/gemma-3-1b-pt,shuffled,0,star_sign,0.20596,0.02846,,,,True
google/gemma-3-1b-pt,mm,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,age_bin,0.36563,0.354,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,4,age_bin,0.38029,0.37051,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,4,age_bin,0.40635,0.39768,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,4,age_bin,0.46675,0.45422,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,age_bin,0.36742,0.36148,,,,True
google/gemma-3-1b-pt,ema_d0.99,4,age_bin,0.36108,0.35692,,,,True
google/gemma-3-1b-pt,ema_d0.9999,4,age_bin,0.42385,0.40661,,,,True
google/gemma-3-1b-pt,mlp_h16,4,age_bin,0.43317,0.38066,,,,True
google/gemma-3-1b-pt,mlp_h32,4,age_bin,0.46236,0.40357,,,,True
google/gemma-3-1b-pt,mlp_h64,4,age_bin,0.46759,0.40643,,,,True
google/gemma-3-1b-pt,mlp_h128,4,age_bin,0.47181,0.41172,,,,True
google/gemma-3-1b-pt,attention,4,age_bin,0.33333,0.13667,,,,True
google/gemma-3-1b-pt,shuffled,4,age_bin,0.37349,0.36719,,,,True
google/gemma-3-1b-pt,mm,4,age_bin,0.33333,0.21802,,,,True
google/gemma-3-1b-pt,ridge_0.01,4,age_bin,0.45688,0.39389,,,,True
google/gemma-3-1b-pt,ridge_0.1,4,age_bin,0.46072,0.39932,,,,False
google/gemma-3-1b-pt,ridge_1.0,4,age_bin,0.43335,0.38114,,,,False
google/gemma-3-1b-pt,ridge_10.0,4,age_bin,0.33443,0.22034,,,,False
google/gemma-3-1b-pt,ridge_100.0,4,age_bin,0.33333,0.21802,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,gender,0.51983,0.51393,0.52803,,,True
google/gemma-3-1b-pt,ema_lr5e-3,4,gender,0.52934,0.52771,0.52842,,,True
google/gemma-3-1b-pt,ema_lr1e-2,4,gender,0.49168,0.48022,0.47869,,,True
google/gemma-3-1b-pt,ema_lr5e-2,4,gender,0.50337,0.49202,0.50479,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,gender,0.47855,0.47784,0.46586,,,True
google/gemma-3-1b-pt,ema_d0.99,4,gender,0.5148,0.51106,0.52206,,,True
google/gemma-3-1b-pt,ema_d0.9999,4,gender,0.50484,0.49786,0.49754,,,True
google/gemma-3-1b-pt,mlp_h16,4,gender,0.49909,0.32245,,,,True
google/gemma-3-1b-pt,mlp_h32,4,gender,0.50191,0.32491,,,,True
google/gemma-3-1b-pt,mlp_h64,4,gender,0.50488,0.33737,,,,True
google/gemma-3-1b-pt,mlp_h128,4,gender,0.49852,0.35057,,,,True
google/gemma-3-1b-pt,attention,4,gender,0.49061,0.46866,,,,True
google/gemma-3-1b-pt,shuffled,4,gender,0.45477,0.44968,,,,True
google/gemma-3-1b-pt,mm,4,gender,0.5,0.28874,,,,True
google/gemma-3-1b-pt,ridge_0.01,4,gender,0.49803,0.39506,,,,True
google/gemma-3-1b-pt,ridge_0.1,4,gender,0.50042,0.37808,,,,False
google/gemma-3-1b-pt,ridge_1.0,4,gender,0.50152,0.32246,,,,False
google/gemma-3-1b-pt,ridge_10.0,4,gender,0.5,0.28874,,,,False
google/gemma-3-1b-pt,ridge_100.0,4,gender,0.5,0.28874,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,star_sign,0.07745,0.01198,,0.06128,0.09277,True
google/gemma-3-1b-pt,ema_lr5e-3,4,star_sign,0.1234,0.01831,,0.10553,0.14298,True
google/gemma-3-1b-pt,ema_lr1e-2,4,star_sign,0.20766,0.02866,,0.18381,0.23234,True
google/gemma-3-1b-pt,ema_lr5e-2,4,star_sign,0.87064,0.07757,,0.85189,0.88936,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,star_sign,0.21191,0.02914,,0.18979,0.23574,True
google/gemma-3-1b-pt,ema_d0.99,4,star_sign,0.1983,0.02758,,0.177,0.21957,True
