model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-14m,ema_lr1e-3,0,age_bin,0.31291,0.30678,,,,True
EleutherAI/pythia-14m,ema_lr5e-3,0,age_bin,0.36419,0.35892,,,,True
EleutherAI/pythia-14m,ema_lr1e-2,0,age_bin,0.32281,0.31701,,,,True
EleutherAI/pythia-14m,ema_lr5e-2,0,age_bin,0.3605,0.35579,,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,age_bin,0.35354,0.34925,,,,True
EleutherAI/pythia-14m,ema_d0.99,0,age_bin,0.39767,0.39127,,,,True
EleutherAI/pythia-14m,ema_d0.9999,0,age_bin,0.35966,0.35619,,,,True
EleutherAI/pythia-14m,mlp_h16,0,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-14m,mlp_h32,0,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-14m,mlp_h64,0,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-14m,mlp_h128,0,age_bin,0.33553,0.22264,,,,True
EleutherAI/pythia-14m,attention,0,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-14m,shuffled,0,age_bin,0.36702,0.35794,,,,True
EleutherAI/pythia-14m,mm,0,age_bin,0.46279,0.45443,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-14m,ridge_0.1,0,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-14m,ridge_1.0,0,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-14m,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-14m,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-14m,ema_lr1e-3,0,gender,0.51281,0.50993,0.5123,,,True
EleutherAI/pythia-14m,ema_lr5e-3,0,gender,0.47255,0.47046,0.47102,,,True
EleutherAI/pythia-14m,ema_lr1e-2,0,gender,0.49774,0.48684,0.50503,,,True
EleutherAI/pythia-14m,ema_lr5e-2,0,gender,0.49685,0.47264,0.48735,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,gender,0.49745,0.49089,0.5005,,,True
EleutherAI/pythia-14m,ema_d0.99,0,gender,0.48075,0.4736,0.47808,,,True
EleutherAI/pythia-14m,ema_d0.9999,0,gender,0.48305,0.47758,0.48997,,,True
EleutherAI/pythia-14m,mlp_h16,0,gender,0.5,0.28874,,,,True
EleutherAI/pythia-14m,mlp_h32,0,gender,0.4979,0.28788,,,,True
EleutherAI/pythia-14m,mlp_h64,0,gender,0.4979,0.28788,,,,True
EleutherAI/pythia-14m,mlp_h128,0,gender,0.50072,0.29035,,,,True
EleutherAI/pythia-14m,attention,0,gender,0.4979,0.28788,,,,True
EleutherAI/pythia-14m,shuffled,0,gender,0.47849,0.47001,,,,True
EleutherAI/pythia-14m,mm,0,gender,0.54853,0.53552,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,gender,0.5,0.28874,,,,False
