model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-1b,ema_lr1e-3,0,age_bin,0.3359,0.32444,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,age_bin,0.35247,0.34718,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,age_bin,0.38686,0.38738,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,age_bin,0.3932,0.35836,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,age_bin,0.36112,0.35912,,,,True
EleutherAI/pythia-1b,ema_d0.99,0,age_bin,0.37948,0.37983,,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,age_bin,0.31997,0.31932,,,,True
EleutherAI/pythia-1b,mlp_h16,0,age_bin,0.34258,0.2396,,,,True
EleutherAI/pythia-1b,mlp_h32,0,age_bin,0.34148,0.23743,,,,True
EleutherAI/pythia-1b,mlp_h64,0,age_bin,0.34155,0.23586,,,,True
EleutherAI/pythia-1b,mlp_h128,0,age_bin,0.34103,0.23395,,,,True
EleutherAI/pythia-1b,attention,0,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-1b,shuffled,0,age_bin,0.35053,0.34974,,,,True
EleutherAI/pythia-1b,mm,0,age_bin,0.48671,0.48235,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,age_bin,0.34808,0.25029,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,age_bin,0.34478,0.24391,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,age_bin,0.33883,0.22947,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,gender,0.56288,0.5586,0.57482,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,gender,0.48891,0.48191,0.49331,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,gender,0.48262,0.47641,0.4864,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,gender,0.50138,0.47586,0.51871,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,gender,0.53688,0.52819,0.5356,,,True
EleutherAI/pythia-1b,ema_d0.99,0,gender,0.51869,0.50855,0.52858,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,gender,0.50528,0.49906,0.5247,,,True
EleutherAI/pythia-1b,mlp_h16,0,gender,0.49967,0.28991,,,,True
EleutherAI/pythia-1b,mlp_h32,0,gender,0.49895,0.28831,,,,True
EleutherAI/pythia-1b,mlp_h64,0,gender,0.49895,0.28831,,,,True
EleutherAI/pythia-1b,mlp_h128,0,gender,0.49895,0.28831,,,,True
EleutherAI/pythia-1b,attention,0,gender,0.5,0.28874,,,,True
EleutherAI/pythia-1b,shuffled,0,gender,0.50358,0.49462,,,,True
EleutherAI/pythia-1b,mm,0,gender,0.54661,0.53163,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,gender,0.51134,0.32936,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,gender,0.50771,0.31833,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,gender,0.50077,0.29426,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,gender,0.5,0.28874,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,gender,0.5,0.28874,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,star_sign,0.07234,0.01124,,0.05872,0.08683,True
EleutherAI/pythia-1b,ema_lr5e-3,0,star_sign,0.21872,0.02991,,0.19489,0.2417,True
EleutherAI/pythia-1b,ema_lr1e-2,0,star_sign,0.4783,0.05392,,0.45021,0.50894,True
EleutherAI/pythia-1b,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,star_sign,0.42043,0.04933,,0.39064,0.44681,True
EleutherAI/pythia-1b,ema_d0.99,0,star_sign,0.51319,0.05652,,0.48423,0.54215,True
EleutherAI/pythia-1b,ema_d0.9999,0,star_sign,0.42894,0.05003,,0.4,0.45787,True
EleutherAI/pythia-1b,mlp_h16,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h32,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h64,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h128,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,attention,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,shuffled,0,star_sign,0.42383,0.04961,,,,True
EleutherAI/pythia-1b,mm,0,star_sign,0.98638,0.33105,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,age_bin,0.35814,0.35282,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,4,age_bin,0.4205,0.39584,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,4,age_bin,0.46261,0.45298,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,4,age_bin,0.47027,0.42471,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,4,age_bin,0.41601,0.40008,,,,True
EleutherAI/pythia-1b,ema_d0.99,4,age_bin,0.4211,0.40353,,,,True
EleutherAI/pythia-1b,ema_d0.9999,4,age_bin,0.4416,0.41932,,,,True
EleutherAI/pythia-1b,mlp_h16,4,age_bin,0.438,0.385,,,,True
EleutherAI/pythia-1b,mlp_h32,4,age_bin,0.43574,0.38461,,,,True
EleutherAI/pythia-1b,mlp_h64,4,age_bin,0.4339,0.38732,,,,True
EleutherAI/pythia-1b,mlp_h128,4,age_bin,0.44911,0.41132,,,,True
EleutherAI/pythia-1b,attention,4,age_bin,0.42803,0.39003,,,,True
EleutherAI/pythia-1b,shuffled,4,age_bin,0.30891,0.30908,,,,True
EleutherAI/pythia-1b,mm,4,age_bin,0.33333,0.21802,,,,True
EleutherAI/pythia-1b,ridge_0.01,4,age_bin,0.47149,0.40388,,,,True
EleutherAI/pythia-1b,ridge_0.1,4,age_bin,0.47066,0.40497,,,,False
EleutherAI/pythia-1b,ridge_1.0,4,age_bin,0.44368,0.38949,,,,False
EleutherAI/pythia-1b,ridge_10.0,4,age_bin,0.34155,0.23593,,,,False
EleutherAI/pythia-1b,ridge_100.0,4,age_bin,0.33333,0.21802,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,gender,0.49245,0.49064,0.50331,,,True
EleutherAI/pythia-1b,ema_lr5e-3,4,gender,0.47664,0.47357,0.4761,,,True
EleutherAI/pythia-1b,ema_lr1e-2,4,gender,0.513,0.50617,0.50113,,,True
EleutherAI/pythia-1b,ema_lr5e-2,4,gender,0.50476,0.46916,0.50702,,,True
